年,週,年齡別,縣市,急性腹瀉急診就診人次
2007,03,7-12,新竹縣,4
2007,03,7-12,花蓮縣,2
2007,03,7-12,苗栗縣,8
2007,03,7-12,高雄市,58
2007,03,7-12,台北市,74
2007,03,7-12,台中市,61
2007,03,7-12,台南市,12
2007,03,7-12,台東縣,1
2007,03,7-12,雲林縣,10
2007,03,7-12,基隆市,2
2007,04,0-6,嘉義市,24
2007,04,0-6,嘉義縣,12
2007,04,0-6,桃園市,112
2007,04,0-6,屏東縣,34
2007,04,0-6,南投縣,19
2007,04,0-6,彰化縣,18
2007,04,0-6,宜蘭縣,19
2007,04,0-6,新北市,133
2007,04,0-6,新竹市,53
2007,04,0-6,新竹縣,12
2007,04,0-6,花蓮縣,5
2007,04,0-6,苗栗縣,15
2007,04,0-6,高雄市,191
2007,04,0-6,台北市,220
2007,04,0-6,台中市,163
2007,04,0-6,台南市,48
2007,04,0-6,台東縣,10
2007,04,0-6,雲林縣,28
2007,04,0-6,基隆市,13
2007,04,13-18,嘉義市,6
2007,04,13-18,嘉義縣,2
2007,04,13-18,桃園市,33
2007,04,13-18,屏東縣,9
2007,04,13-18,南投縣,8
2007,04,13-18,彰化縣,5
2007,04,13-18,宜蘭縣,14
2007,04,13-18,新北市,53
2007,04,13-18,新竹市,19
2007,04,13-18,新竹縣,13
2007,04,13-18,花蓮縣,6
2007,04,13-18,苗栗縣,10
2007,04,13-18,高雄市,68
2007,04,13-18,台北市,81
2007,04,13-18,台中市,61
2007,04,13-18,台南市,28
2007,04,13-18,台東縣,7
2007,04,13-18,雲林縣,13
2007,04,13-18,基隆市,7
2007,04,19-64,嘉義市,37
2007,04,19-64,嘉義縣,42
2007,04,19-64,桃園市,363
2007,04,19-64,屏東縣,92
2007,04,19-64,南投縣,99
2007,04,19-64,彰化縣,35
2007,04,19-64,宜蘭縣,99
2007,04,19-64,新北市,579
2007,04,19-64,新竹市,187
2007,04,19-64,新竹縣,102
2007,04,19-64,花蓮縣,41
2007,04,19-64,苗栗縣,87
2007,04,19-64,高雄市,614
2007,04,19-64,台北市,750
2007,04,19-64,台中市,624
2007,04,19-64,台南市,125
2007,04,19-64,台東縣,13
2007,04,19-64,雲林縣,73
2007,04,19-64,基隆市,71
2007,04,65+,嘉義市,7
2007,04,65+,嘉義縣,8
2007,04,65+,桃園市,45
2007,04,65+,屏東縣,28
2007,04,65+,南投縣,18
2007,04,65+,彰化縣,3
2007,04,65+,宜蘭縣,17
2007,04,65+,新北市,59
2007,04,65+,新竹市,12
2007,04,65+,新竹縣,16
2007,04,65+,花蓮縣,13
2007,04,65+,苗栗縣,14
2007,04,65+,高雄市,89
2007,04,65+,台北市,117
2007,04,65+,台中市,80
2007,04,65+,台南市,22
2007,04,65+,台東縣,4
2007,04,65+,雲林縣,9
2007,04,65+,基隆市,10
2007,04,7-12,嘉義市,7
2007,04,7-12,嘉義縣,5
2007,04,7-12,桃園市,25
2007,04,7-12,屏東縣,11
2007,04,7-12,南投縣,11
2007,04,7-12,彰化縣,6
2007,04,7-12,宜蘭縣,14
2007,04,7-12,新北市,43
2007,04,7-12,新竹市,13
2007,04,7-12,新竹縣,11
2007,04,7-12,花蓮縣,1
2007,04,7-12,苗栗縣,13
2007,04,7-12,高雄市,57
2007,04,7-12,台北市,56
2007,04,7-12,台中市,73
2007,04,7-12,台南市,10
2007,04,7-12,台東縣,5
2007,04,7-12,雲林縣,11
2007,04,7-12,基隆市,8
2007,05,0-6,嘉義市,33
2007,05,0-6,嘉義縣,7
2007,05,0-6,桃園市,117
2007,05,0-6,屏東縣,30
2007,05,0-6,南投縣,21
2007,05,0-6,彰化縣,10
2007,05,0-6,宜蘭縣,10
2007,05,0-6,新北市,155
2007,05,0-6,新竹市,78
2007,05,0-6,新竹縣,18
2007,05,0-6,花蓮縣,9
2007,05,0-6,苗栗縣,10
2007,05,0-6,高雄市,227
2007,05,0-6,台北市,225
2007,05,0-6,台中市,187
2007,05,0-6,台南市,36
2007,05,0-6,台東縣,7
2007,05,0-6,雲林縣,34
2007,05,0-6,基隆市,7
2007,05,13-18,嘉義市,6
2007,05,13-18,桃園市,35
2007,05,13-18,屏東縣,6
2007,05,13-18,南投縣,6
2007,05,13-18,彰化縣,4
2007,05,13-18,宜蘭縣,6
2007,05,13-18,新北市,73
2007,05,13-18,新竹市,12
2007,05,13-18,新竹縣,10
2007,05,13-18,花蓮縣,1
2007,05,13-18,苗栗縣,12
2007,05,13-18,高雄市,51
2007,05,13-18,台北市,56
2007,05,13-18,台中市,64
2007,05,13-18,台南市,10
2007,05,13-18,台東縣,3
2007,05,13-18,雲林縣,5
2007,05,13-18,基隆市,11
2007,05,19-64,嘉義市,28
2007,05,19-64,嘉義縣,16
2007,05,19-64,桃園市,266
2007,05,19-64,屏東縣,96
2007,05,19-64,南投縣,72
2007,05,19-64,彰化縣,25
2007,05,19-64,宜蘭縣,73
2007,05,19-64,新北市,513
