確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
045a,2010,3,屏東縣,內埔鄉,M,0,3,1,10013,10013130
045a,2010,5,南投縣,草屯鎮,M,0,10~14,1,10008,10008030
045a,2010,6,屏東縣,枋寮鄉,M,0,5~9,1,10013,10013160
045a,2010,8,新北市,樹林區,M,0,2,1,65000,65000070
045a,2010,9,高雄市,小港區,M,0,4,1,64000,64000110
045a,2010,10,高雄市,鳳山區,M,0,10~14,1,64000,64000120
045a,2010,10,高雄市,鼓山區,M,0,5~9,1,64000,64000020
045a,2010,11,高雄市,前鎮區,F,0,5~9,1,64000,64000090
045a,2010,13,苗栗縣,苗栗市,F,0,1,1,10005,10005010
045a,2010,13,雲林縣,大埤鄉,M,0,3,1,10009,10009080
045a,2010,14,新北市,板橋區,M,0,5~9,1,65000,65000010
045a,2010,16,花蓮縣,光復鄉,M,0,5~9,1,10015,10015070
045a,2010,16,高雄市,大寮區,M,0,0,1,64000,64000140
045a,2010,16,新北市,中和區,M,0,5~9,1,65000,65000030
045a,2010,16,台南市,永康區,F,0,10~14,1,67000,67000310
045a,2010,16,桃園市,復興區,F,0,1,1,68000,68000130
045a,2010,17,雲林縣,水林鄉,F,0,0,1,10009,10009200
045a,2010,18,台南市,永康區,F,0,5~9,1,67000,67000310
045a,2010,19,高雄市,大寮區,F,0,5~9,1,64000,64000140
045a,2010,19,桃園市,八德區,F,0,2,1,68000,68000080
045a,2010,21,屏東縣,屏東市,M,0,5~9,1,10013,10013010
045a,2010,22,高雄市,前鎮區,M,0,5~9,1,64000,64000090
045a,2010,23,屏東縣,潮州鎮,M,0,10~14,1,10013,10013020
045a,2010,23,澎湖縣,望安鄉,M,0,10~14,1,10016,10016050
045a,2010,24,雲林縣,虎尾鎮,M,0,5~9,1,10009,10009030
045a,2010,24,嘉義市,東區,F,0,0,1,10020,10020010
045a,2010,24,高雄市,前鎮區,M,0,5~9,1,64000,64000090
045a,2010,24,台中市,潭子區,F,0,1,1,66000,66000170
045a,2010,26,屏東縣,潮州鎮,M,0,5~9,1,10013,10013020
045a,2010,27,台北市,松山區,F,0,10~14,1,63000,63000010
045a,2010,27,台南市,新營區,M,0,10~14,1,67000,67000010
045a,2010,28,桃園市,楊梅區,M,0,3,1,68000,68000040
045a,2010,30,台南市,佳里區,M,0,10~14,1,67000,67000120
045a,2010,36,屏東縣,潮州鎮,F,0,1,1,10013,10013020
045a,2010,37,桃園市,平鎮區,F,0,5~9,1,68000,68000100
045a,2010,37,桃園市,楊梅區,M,0,10~14,1,68000,68000040
045a,2010,38,基隆市,中正區,F,0,5~9,1,10017,10017010
045a,2010,39,彰化縣,大村鄉,F,0,1,1,10007,10007130
045a,2010,41,高雄市,三民區,M,0,10~14,1,64000,64000050
045a,2010,41,高雄市,三民區,M,0,10~14,1,64000,64000051
045a,2010,41,高雄市,三民區,M,0,10~14,1,64000,64000052
045a,2010,41,台中市,西屯區,M,0,1,1,66000,66000060
045a,2010,42,高雄市,楠梓區,M,0,5~9,1,64000,64000040
045a,2010,43,彰化縣,鹿港鎮,F,0,5~9,1,10007,10007020
045a,2010,43,屏東縣,高樹鄉,M,0,4,1,10013,10013110
