年,週,年齡別,縣市,手足口病急診就診人次,縣市別代碼
2007,23,1~3,花蓮縣,1,10015
2007,23,1~3,高雄市,5,64000
2007,23,1~3,台北市,9,63000
2007,23,1~3,台中市,4,66000
2007,23,1~3,台南市,2,67000
2007,23,1~3,台東縣,1,10014
2007,23,1~3,基隆市,1,10017
2007,23,4~6,桃園市,1,68000
2007,23,4~6,彰化縣,4,10007
2007,23,4~6,新竹市,1,10018
2007,23,4~6,新竹縣,2,10004
2007,23,4~6,高雄市,1,64000
2007,23,4~6,台北市,5,63000
2007,23,4~6,台南市,2,67000
2007,23,7~15,台北市,1,63000
2007,23,7~15,基隆市,1,10017
2007,24,0,嘉義縣,1,10010
2007,24,0,桃園市,1,68000
2007,24,0,新北市,1,65000
2007,24,0,苗栗縣,1,10005
2007,24,0,高雄市,1,64000
