縣市別,鄉鎮別,年別,治療成功率
10017,中山區,2018,72.2
10017,中正區,2018,65.2
10017,仁愛區,2018,55
10017,安樂區,2018,77.5
10017,信義區,2018,56.3
10017,暖暖區,2018,76.2
10017,七堵區,2017,70
10017,中山區,2017,80.8
10017,中正區,2017,90.5
10017,仁愛區,2017,70.6
10017,安樂區,2017,75.7
10017,信義區,2017,60
10017,暖暖區,2017,70
10017,七堵區,2016,70
10017,中山區,2016,69.6
10017,中正區,2016,85
10017,仁愛區,2016,76.9
10017,安樂區,2016,74.1
10017,信義區,2016,69.2
10017,暖暖區,2016,57.1
10017,七堵區,2015,69.2
10017,中山區,2015,71.4
10017,中正區,2015,64.5
10017,仁愛區,2015,76.7
10017,安樂區,2015,61.8
10017,信義區,2015,76.9
10017,暖暖區,2015,64.3
10017,七堵區,2014,86.7
10017,中山區,2014,65.2
10017,中正區,2014,90
10017,仁愛區,2014,70.4
10017,安樂區,2014,64.5
10017,信義區,2014,88.9
10017,暖暖區,2014,76.5
10017,七堵區,2013,70.3
10017,中山區,2013,70.8
10017,中正區,2013,80.6
10017,仁愛區,2013,82.1
10017,安樂區,2013,88.2
10017,信義區,2013,83.3
10017,暖暖區,2013,56.5
9020,金沙鎮,2021,100
9020,金城鎮,2021,83.3
9020,金湖鎮,2021,100
9020,金寧鄉,2021,100
9020,金城鎮,2020,75
9020,金湖鎮,2020,88.9
9020,金寧鄉,2020,100
9020,烈嶼鄉,2020,0
9020,金沙鎮,2019,100
9020,金城鎮,2019,100
9020,金湖鎮,2019,100
9020,金寧鄉,2019,83.3
9020,烈嶼鄉,2019,100
9020,金城鎮,2018,100
9020,金湖鎮,2018,83.3
9020,金寧鄉,2018,50
9020,烈嶼鄉,2018,66.7
9020,金沙鎮,2017,100
9020,金城鎮,2017,75
9020,金湖鎮,2017,100
9020,金寧鄉,2017,100
9020,烈嶼鄉,2017,0
9020,金沙鎮,2016,50
9020,金城鎮,2016,50
9020,金湖鎮,2016,90
9020,金寧鄉,2016,50
9020,烈嶼鄉,2016,83.3
9020,金沙鎮,2015,100
9020,金城鎮,2015,85.7
9020,金湖鎮,2015,100
