確定病名,死亡日,縣市,鄉鎮,性別,是否為境外移入,年齡層,死亡病例數,縣市別代碼,鄉鎮別代碼
19SC,2025-05-08,花蓮縣,花蓮市,M,0,70+,1,10015,10015010
19SC,2025-05-08,桃園市,平鎮區,F,0,70+,1,68000,68000100
19SC,2025-05-09,台中市,沙鹿區,F,0,70+,1,66000,66000130
19SC,2025-05-12,台中市,太平區,M,0,55~59,1,66000,66000270
19SC,2025-05-16,南投縣,南投市,M,0,70+,1,10008,10008010
19SC,2025-05-17,台中市,太平區,M,0,70+,1,66000,66000270
19SC,2025-05-18,南投縣,南投市,F,0,70+,1,10008,10008010
19SC,2025-05-18,高雄市,三民區,M,0,55~59,1,64000,64000050
19SC,2025-05-19,基隆市,中山區,M,0,65~69,1,10017,10017050
19SC,2025-05-19,新北市,中和區,F,0,70+,1,65000,65000030
19SC,2025-05-20,嘉義市,西區,M,0,70+,1,10020,10020020
19SC,2025-05-20,高雄市,三民區,M,0,70+,1,64000,64000050
19SC,2025-05-20,新北市,三峽區,M,0,70+,1,65000,65000090
19SC,2025-05-20,新北市,三重區,F,0,55~59,1,65000,65000020
19SC,2025-05-20,台中市,北屯區,F,0,70+,1,66000,66000080
19SC,2025-05-21,彰化縣,彰化市,M,0,50~54,1,10007,10007010
19SC,2025-05-21,彰化縣,永靖鄉,M,0,70+,1,10007,10007160
19SC,2025-05-21,彰化縣,田中鎮,M,0,70+,1,10007,10007120
19SC,2025-05-21,台中市,豐原區,M,0,70+,1,66000,66000090
19SC,2025-05-21,台南市,南區,M,0,70+,1,67000,67000330
19SC,2025-05-22,彰化縣,彰化市,F,0,70+,1,10007,10007010
19SC,2025-05-22,彰化縣,線西鄉,M,0,70+,1,10007,10007040
19SC,2025-05-22,台北市,南港區,F,0,70+,1,63000,63000090
19SC,2025-05-22,台中市,北屯區,M,0,70+,1,66000,66000080
19SC,2025-05-23,台北市,萬華區,F,1,70+,1,63000,63000070
19SC,2025-05-24,屏東縣,萬巒鄉,M,0,60~64,1,10013,10013120
19SC,2025-05-25,彰化縣,員林市,F,0,70+,1,10007,10007100
19SC,2025-05-26,金門縣,金沙鎮,F,0,65~69,1,09020,09020020
19SC,2025-05-26,彰化縣,秀水鄉,F,0,70+,1,10007,10007070
19SC,2025-05-26,高雄市,鹽埕區,F,0,70+,1,64000,64000010
19SC,2025-05-26,台南市,安南區,M,0,60~64,1,67000,67000350
19SC,2025-05-27,彰化縣,福興鄉,F,0,65~69,1,10007,10007060
19SC,2025-05-27,南投縣,竹山鎮,M,0,70+,1,10008,10008040
19SC,2025-05-27,高雄市,新興區,M,0,70+,1,64000,64000060
19SC,2025-05-27,高雄市,那瑪夏區,F,0,70+,1,64000,64000380
19SC,2025-05-27,桃園市,中壢區,M,0,70+,1,68000,68000020
19SC,2025-05-28,台中市,北區,F,0,70+,1,66000,66000050
19SC,2025-05-28,桃園市,中壢區,M,0,70+,1,68000,68000020
19SC,2025-05-29,新北市,新店區,F,1,65~69,1,65000,65000060
19SC,2025-05-29,新北市,汐止區,F,0,70+,1,65000,65000110
19SC,2025-05-30,基隆市,七堵區,F,0,70+,1,10017,10017020
19SC,2025-05-30,台北市,北投區,F,0,70+,1,63000,63000120
19SC,2025-05-30,桃園市,大園區,M,0,70+,1,68000,68000060
19SC,2025-05-31,嘉義縣,中埔鄉,M,0,70+,1,10010,10010130
19SC,2025-05-31,台北市,中正區,M,0,70+,1,63000,63000050
19SC,2025-05-31,台北市,內湖區,M,0,70+,1,63000,63000100
19SC,2025-05-31,高雄市,小港區,F,0,70+,1,64000,64000110
19SC,2025-05-31,台中市,北區,F,0,65~69,1,66000,66000050
19SC,2025-05-31,台南市,麻豆區,M,0,70+,1,67000,67000070
19SC,2025-06-02,新北市,三峽區,M,0,55~59,1,65000,65000090
19SC,2025-06-02,台中市,清水區,M,0,70+,1,66000,66000120
19SC,2025-06-02,桃園市,大溪區,M,0,70+,1,68000,68000030
19SC,2025-06-02,桃園市,平鎮區,M,0,70+,1,68000,68000100
19SC,2025-06-03,新北市,三峽區,F,0,70+,1,65000,65000090
19SC,2025-06-03,新北市,三重區,M,0,70+,1,65000,65000020
19SC,2025-06-03,桃園市,蘆竹區,M,0,70+,1,68000,68000050
19SC,2025-06-04,彰化縣,彰化市,M,0,70+,1,10007,10007010
19SC,2025-06-04,彰化縣,花壇鄉,M,0,70+,1,10007,10007080
19SC,2025-06-04,基隆市,仁愛區,M,0,70+,1,10017,10017040
19SC,2025-06-04,台北市,士林區,M,0,65~69,1,63000,63000110
19SC,2025-06-04,台北市,士林區,F,0,70+,1,63000,63000110
19SC,2025-06-04,高雄市,楠梓區,M,0,70+,1,64000,64000040
19SC,2025-06-04,新北市,新莊區,F,0,70+,1,65000,65000050
19SC,2025-06-04,台中市,沙鹿區,M,0,70+,1,66000,66000130
19SC,2025-06-04,桃園市,蘆竹區,M,0,70+,1,68000,68000050
19SC,2025-06-05,苗栗縣,苗栗市,M,0,35~39,1,10005,10005010
19SC,2025-06-05,屏東縣,潮州鎮,M,0,60~64,1,10013,10013020
19SC,2025-06-05,台北市,松山區,M,0,60~64,1,63000,63000010
19SC,2025-06-05,桃園市,中壢區,M,0,70+,1,68000,68000020
19SC,2025-06-06,宜蘭縣,礁溪鄉,M,0,70+,1,10002,10002050
19SC,2025-06-06,屏東縣,佳冬鄉,F,0,55~59,1,10013,10013210
19SC,2025-06-06,屏東縣,恆春鎮,M,0,60~64,1,10013,10013040
19SC,2025-06-06,屏東縣,泰武鄉,M,0,70+,1,10013,10013290
19SC,2025-06-06,桃園市,中壢區,F,0,70+,1,68000,68000020
19SC,2025-06-07,屏東縣,內埔鄉,M,0,65~69,1,10013,10013130
19SC,2025-06-07,台北市,大安區,M,0,70+,1,63000,63000030
19SC,2025-06-07,高雄市,燕巢區,F,0,70+,1,64000,64000210
19SC,2025-06-07,台中市,南屯區,M,0,70+,1,66000,66000070
19SC,2025-06-07,台中市,大里區,F,0,30~34,1,66000,66000280
19SC,2025-06-08,屏東縣,高樹鄉,M,0,70+,1,10013,10013110
19SC,2025-06-08,花蓮縣,新城鄉,F,0,70+,1,10015,10015040
19SC,2025-06-08,基隆市,中山區,F,0,70+,1,10017,10017050
19SC,2025-06-08,新竹市,香山區,M,0,70+,1,10018,10018030
19SC,2025-06-08,桃園市,大園區,M,0,70+,1,68000,68000060
19SC,2025-06-08,桃園市,蘆竹區,M,0,70+,1,68000,68000050
19SC,2025-06-09,新竹縣,竹東鎮,F,0,70+,1,10004,10004020
19SC,2025-06-09,彰化縣,溪湖鎮,M,0,70+,1,10007,10007110
19SC,2025-06-09,嘉義縣,六腳鄉,M,0,70+,1,10010,10010080
19SC,2025-06-09,嘉義市,西區,M,0,70+,1,10020,10020020
19SC,2025-06-09,高雄市,小港區,M,0,25~29,1,64000,64000110
19SC,2025-06-09,新北市,中和區,M,0,70+,1,65000,65000030
19SC,2025-06-09,桃園市,大溪區,M,0,70+,1,68000,68000030
19SC,2025-06-10,新竹縣,湖口鄉,F,0,70+,1,10004,10004050
19SC,2025-06-10,嘉義縣,六腳鄉,M,0,70+,1,10010,10010080
19SC,2025-06-10,高雄市,前鎮區,M,0,70+,1,64000,64000090
19SC,2025-06-10,高雄市,美濃區,F,0,70+,1,64000,64000310
19SC,2025-06-10,新北市,五股區,M,0,70+,1,65000,65000150
19SC,2025-06-10,台中市,大里區,F,0,70+,1,66000,66000280
19SC,2025-06-11,台東縣,成功鎮,F,0,70+,1,10014,10014020
19SC,2025-06-11,基隆市,安樂區,M,0,70+,1,10017,10017060
19SC,2025-06-11,台北市,中正區,M,0,70+,1,63000,63000050
19SC,2025-06-12,金門縣,金湖鎮,F,0,70+,1,09020,09020030
19SC,2025-06-12,花蓮縣,吉安鄉,M,0,70+,1,10015,10015050
19SC,2025-06-12,台北市,中正區,M,0,70+,1,63000,63000050
19SC,2025-06-12,高雄市,小港區,F,0,60~64,1,64000,64000110
19SC,2025-06-12,桃園市,龜山區,M,0,70+,1,68000,68000070
19SC,2025-06-13,高雄市,三民區,M,0,70+,1,64000,64000050
19SC,2025-06-13,高雄市,小港區,M,0,70+,1,64000,64000110
19SC,2025-06-13,高雄市,阿蓮區,M,0,65~69,1,64000,64000230
19SC,2025-06-13,新北市,新店區,F,0,70+,1,65000,65000060
19SC,2025-06-13,台中市,南區,M,0,60~64,1,66000,66000030
19SC,2025-06-13,台中市,烏日區,F,0,70+,1,66000,66000230
19SC,2025-06-14,新北市,三芝區,M,0,70+,1,65000,65000210
19SC,2025-06-14,新北市,三重區,F,0,70+,1,65000,65000020
19SC,2025-06-14,台中市,烏日區,M,0,70+,1,66000,66000230
19SC,2025-06-15,屏東縣,九如鄉,M,0,70+,1,10013,10013080
19SC,2025-06-15,台東縣,台東市,F,0,70+,1,10014,10014010
19SC,2025-06-15,新竹市,北區,M,0,70+,1,10018,10018020
19SC,2025-06-15,台北市,北投區,M,0,70+,1,63000,63000120
19SC,2025-06-15,台中市,大里區,F,0,70+,1,66000,66000280
19SC,2025-06-15,台中市,西區,F,0,70+,1,66000,66000040
19SC,2025-06-15,台南市,北區,F,0,60~64,1,67000,67000340
19SC,2025-06-16,南投縣,埔里鎮,F,0,70+,1,10008,10008020
19SC,2025-06-16,屏東縣,萬丹鄉,M,0,60~64,1,10013,10013050
19SC,2025-06-16,花蓮縣,吉安鄉,M,0,70+,1,10015,10015050
19SC,2025-06-16,花蓮縣,花蓮市,M,0,70+,1,10015,10015010
19SC,2025-06-16,高雄市,旗山區,M,0,65~69,1,64000,64000300
19SC,2025-06-16,新北市,土城區,F,0,60~64,1,65000,65000130
19SC,2025-06-16,台中市,豐原區,F,0,70+,1,66000,66000090
19SC,2025-06-16,台南市,南區,M,0,70+,1,67000,67000330
19SC,2025-06-16,桃園市,桃園區,M,0,65~69,1,68000,68000010
19SC,2025-06-16,桃園市,蘆竹區,F,0,70+,1,68000,68000050
19SC,2025-06-17,彰化縣,花壇鄉,F,0,70+,1,10007,10007080
19SC,2025-06-17,屏東縣,潮州鎮,F,0,70+,1,10013,10013020
19SC,2025-06-17,屏東縣,麟洛鄉,F,0,70+,1,10013,10013070
19SC,2025-06-17,台北市,萬華區,F,0,70+,1,63000,63000070
19SC,2025-06-17,新北市,中和區,M,0,70+,1,65000,65000030
19SC,2025-06-17,台中市,清水區,M,0,65~69,1,66000,66000120
19SC,2025-06-19,南投縣,埔里鎮,M,0,70+,1,10008,10008020
19SC,2025-06-19,嘉義縣,太保市,M,0,70+,1,10010,10010010
19SC,2025-06-19,嘉義縣,水上鄉,M,0,70+,1,10010,10010120
19SC,2025-06-19,台南市,永康區,M,0,60~64,1,67000,67000310
19SC,2025-06-20,基隆市,信義區,M,0,65~69,1,10017,10017070
19SC,2025-06-21,台北市,南港區,F,0,70+,1,63000,63000090
19SC,2025-06-21,新北市,中和區,M,0,70+,1,65000,65000030
19SC,2025-06-21,台中市,北區,F,0,70+,1,66000,66000050
19SC,2025-06-21,台中市,北區,M,0,70+,1,66000,66000050
19SC,2025-06-21,台南市,安平區,F,0,70+,1,67000,67000360
19SC,2025-06-21,桃園市,平鎮區,F,0,70+,1,68000,68000100
19SC,2025-06-22,彰化縣,竹塘鄉,M,0,70+,1,10007,10007250
19SC,2025-06-22,台北市,內湖區,M,0,70+,1,63000,63000100
19SC,2025-06-22,台北市,士林區,M,0,70+,1,63000,63000110
19SC,2025-06-23,屏東縣,長治鄉,F,0,70+,1,10013,10013060
19SC,2025-06-23,台中市,北區,M,0,70+,1,66000,66000050
19SC,2025-06-23,台南市,中西區,F,0,70+,1,67000,67000370
19SC,2025-06-24,高雄市,前鎮區,F,0,70+,1,64000,64000090
19SC,2025-06-24,高雄市,大社區,F,0,65~69,1,64000,64000160
19SC,2025-06-24,新北市,三重區,M,0,65~69,1,65000,65000020
19SC,2025-06-24,台中市,大里區,M,0,70+,1,66000,66000280
19SC,2025-06-24,台中市,豐原區,M,0,70+,1,66000,66000090
19SC,2025-06-25,台北市,士林區,F,0,70+,1,63000,63000110
19SC,2025-06-25,高雄市,鳳山區,M,0,65~69,1,64000,64000120
19SC,2025-06-25,台中市,新社區,M,0,70+,1,66000,66000190
19SC,2025-06-25,台南市,仁德區,F,0,70+,1,67000,67000270
19SC,2025-06-26,屏東縣,潮州鎮,M,0,70+,1,10013,10013020
19SC,2025-06-26,台北市,南港區,M,0,70+,1,63000,63000090
19SC,2025-06-26,新北市,瑞芳區,M,0,70+,1,65000,65000120
19SC,2025-06-26,台中市,東勢區,M,0,65~69,1,66000,66000100
19SC,2025-06-26,台中市,豐原區,F,0,70+,1,66000,66000090
19SC,2025-06-27,高雄市,橋頭區,M,0,65~69,1,64000,64000200
19SC,2025-06-27,台南市,佳里區,F,0,70+,1,67000,67000120
19SC,2025-06-28,高雄市,鼓山區,M,0,70+,1,64000,64000020
