確定病名,診斷年份,診斷週別,縣市,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼
090,2003,2,屏東縣,F,0,45~49,1,10013
090,2003,2,屏東縣,M,0,70+,1,10013
090,2003,2,花蓮縣,F,0,0,1,10015
090,2003,2,花蓮縣,F,0,30~34,1,10015
090,2003,2,花蓮縣,F,0,35~39,1,10015
090,2003,2,花蓮縣,M,0,70+,1,10015
090,2003,2,基隆市,M,0,30~34,1,10017
090,2003,2,新竹市,F,0,20~24,1,10018
090,2003,2,新竹市,F,0,25~29,2,10018
090,2003,2,新竹市,M,0,40~44,1,10018
090,2003,2,嘉義市,M,0,70+,1,10020
090,2003,2,台北市,F,0,15~19,1,63000
090,2003,2,台北市,F,0,20~24,2,63000
090,2003,2,台北市,F,0,25~29,1,63000
090,2003,2,台北市,F,0,70+,1,63000
090,2003,2,台北市,M,0,25~29,1,63000
090,2003,2,台北市,M,0,35~39,1,63000
090,2003,2,台北市,M,0,40~44,1,63000
090,2003,2,台北市,M,0,45~49,1,63000
090,2003,2,高雄市,F,0,50~54,1,64000
090,2003,2,高雄市,M,0,40~44,1,64000
090,2003,2,高雄市,M,0,55~59,1,64000
090,2003,2,高雄市,M,0,65~69,1,64000
090,2003,2,高雄市,M,0,70+,1,64000
090,2003,2,新北市,F,0,25~29,1,65000
090,2003,2,新北市,F,0,45~49,1,65000
090,2003,2,新北市,F,0,70+,1,65000
090,2003,2,新北市,M,0,25~29,1,65000
090,2003,2,新北市,M,0,35~39,1,65000
090,2003,2,新北市,M,0,40~44,1,65000
090,2003,2,新北市,M,0,45~49,1,65000
090,2003,2,新北市,M,0,50~54,1,65000
090,2003,2,新北市,M,0,70+,3,65000
090,2003,2,台中市,M,0,30~34,1,66000
090,2003,2,台南市,F,0,30~34,1,67000
090,2003,2,台南市,M,0,70+,1,67000
090,2003,2,桃園市,F,0,60~64,1,68000
090,2003,2,桃園市,M,0,45~49,1,68000
090,2003,2,桃園市,M,0,70+,1,68000
090,2003,3,宜蘭縣,F,0,30~34,1,10002
090,2003,3,宜蘭縣,F,0,70+,1,10002
090,2003,3,宜蘭縣,M,0,25~29,2,10002
090,2003,3,宜蘭縣,M,0,30~34,2,10002
090,2003,3,宜蘭縣,M,0,40~44,1,10002
090,2003,3,彰化縣,M,0,40~44,1,10007
090,2003,3,嘉義縣,M,0,40~44,1,10010
090,2003,3,屏東縣,F,0,55~59,1,10013
090,2003,3,屏東縣,M,0,30~34,1,10013
090,2003,3,花蓮縣,M,0,20~24,1,10015
090,2003,3,基隆市,M,0,25~29,1,10017
090,2003,3,基隆市,M,0,70+,1,10017
090,2003,3,新竹市,F,0,45~49,1,10018
090,2003,3,新竹市,F,0,50~54,1,10018
090,2003,3,台中市(舊),M,0,45~49,1,10019
090,2003,3,台中市(舊),M,0,50~54,1,10019
090,2003,3,嘉義市,F,0,70+,1,10020
090,2003,3,嘉義市,M,0,55~59,1,10020
090,2003,3,台北市,M,0,0,1,63000
090,2003,3,台北市,M,0,15~19,1,63000
090,2003,3,台北市,M,0,35~39,1,63000
090,2003,3,台北市,M,0,65~69,1,63000
090,2003,3,台北市,M,0,70+,1,63000
090,2003,3,高雄市,F,0,15~19,1,64000
090,2003,3,高雄市,F,0,20~24,1,64000
090,2003,3,高雄市,F,0,30~34,1,64000
090,2003,3,高雄市,F,0,45~49,1,64000
090,2003,3,高雄市,F,0,50~54,1,64000
090,2003,3,高雄市,F,0,70+,1,64000
090,2003,3,高雄市,M,0,20~24,1,64000
090,2003,3,高雄市,M,0,25~29,1,64000
090,2003,3,高雄市,M,0,30~34,1,64000
090,2003,3,高雄市,M,0,35~39,1,64000
090,2003,3,高雄市,M,0,60~64,1,64000
090,2003,3,新北市,F,0,65~69,1,65000
090,2003,3,新北市,F,0,70+,1,65000
090,2003,3,新北市,M,0,15~19,1,65000
090,2003,3,新北市,M,0,20~24,2,65000
090,2003,3,新北市,M,0,25~29,1,65000
090,2003,3,新北市,M,0,35~39,1,65000
090,2003,3,新北市,M,0,40~44,1,65000
090,2003,3,新北市,M,0,45~49,1,65000
090,2003,3,新北市,M,0,50~54,2,65000
090,2003,3,新北市,M,0,55~59,1,65000
090,2003,3,新北市,M,0,70+,2,65000
090,2003,3,台中市,M,0,20~24,1,66000
090,2003,3,台中市,M,0,35~39,1,66000
090,2003,3,台中市,M,0,70+,1,66000
090,2003,3,台南市,F,0,30~34,2,67000
090,2003,3,台南市,M,0,0,1,67000
