年,週,就診類別,年齡別,縣市,急性上呼吸道感染健保就診人次,健保就診總人次,縣市別代碼
2016,01,門診,25~64,高雄市,31586,309141,64000
2016,01,門診,25~64,新北市,55882,399323,65000
2016,01,門診,25~64,台中市,32643,316757,66000
2016,01,門診,25~64,台南市,16795,201124,67000
2016,01,門診,25~64,桃園市,20852,201816,68000
2016,01,門診,3~6,連江縣,23,45,09007
2016,01,門診,3~6,金門縣,239,832,09020
2016,01,門診,3~6,宜蘭縣,1928,4648,10002
2016,01,門診,3~6,新竹縣,1848,6557,10004
2016,01,門診,3~6,苗栗縣,1509,5868,10005
2016,01,門診,3~6,彰化縣,3389,15319,10007
2016,01,門診,3~6,南投縣,1520,5476,10008
2016,01,門診,3~6,雲林縣,1942,7416,10009
2016,01,門診,3~6,嘉義縣,798,3111,10010
2016,01,門診,3~6,屏東縣,1758,8590,10013
2016,01,門診,3~6,台東縣,653,1496,10014
2016,01,門診,3~6,花蓮縣,812,3272,10015
2016,01,門診,3~6,澎湖縣,153,954,10016
2016,01,門診,3~6,基隆市,750,3728,10017
2016,01,門診,3~6,新竹市,1419,7432,10018
2016,01,門診,3~6,嘉義市,942,4931,10020
2016,01,門診,3~6,台北市,5244,24344,63000
2016,01,門診,3~6,高雄市,7302,30108,64000
2016,01,門診,3~6,新北市,12124,48734,65000
2016,01,門診,3~6,台中市,6786,37780,66000
2016,01,門診,3~6,台南市,3746,21674,67000
2016,01,門診,3~6,桃園市,5769,23539,68000
2016,01,門診,65+,連江縣,19,283,09007
2016,01,門診,65+,金門縣,327,3814,09020
2016,01,門診,65+,宜蘭縣,1702,22630,10002
2016,01,門診,65+,新竹縣,1350,14001,10004
2016,01,門診,65+,苗栗縣,1999,26066,10005
2016,01,門診,65+,彰化縣,3996,65633,10007
2016,01,門診,65+,南投縣,1925,25576,10008
2016,01,門診,65+,雲林縣,3011,40585,10009
2016,01,門診,65+,嘉義縣,2487,29063,10010
2016,01,門診,65+,屏東縣,3795,50312,10013
2016,01,門診,65+,台東縣,1183,11982,10014
2016,01,門診,65+,花蓮縣,1346,20059,10015
2016,01,門診,65+,澎湖縣,398,8157,10016
2016,01,門診,65+,基隆市,1759,22157,10017
2016,01,門診,65+,新竹市,883,21641,10018
2016,01,門診,65+,嘉義市,1342,22147,10020
2016,01,門診,65+,台北市,8950,183748,63000
2016,01,門診,65+,高雄市,10501,149345,64000
2016,01,門診,65+,新北市,13373,133729,65000
2016,01,門診,65+,台中市,8722,123869,66000
2016,01,門診,65+,台南市,5231,93023,67000
2016,01,門診,65+,桃園市,4683,73592,68000
2016,01,門診,7~12,連江縣,17,35,09007
2016,01,門診,7~12,金門縣,240,912,09020
2016,01,門診,7~12,宜蘭縣,1386,4048,10002
2016,01,門診,7~12,新竹縣,1521,5773,10004
2016,01,門診,7~12,苗栗縣,1207,4707,10005
2016,01,門診,7~12,彰化縣,2686,13725,10007
2016,01,門診,7~12,南投縣,1195,5036,10008
2016,01,門診,7~12,雲林縣,1665,6770,10009
2016,01,門診,7~12,嘉義縣,932,3375,10010
2016,01,門診,7~12,屏東縣,1542,7680,10013
2016,01,門診,7~12,台東縣,508,1416,10014
2016,01,門診,7~12,花蓮縣,657,2658,10015
2016,01,門診,7~12,澎湖縣,140,1107,10016
2016,01,門診,7~12,基隆市,525,3377,10017
2016,01,門診,7~12,新竹市,976,6312,10018
2016,01,門診,7~12,嘉義市,729,4250,10020
2016,01,門診,7~12,台北市,4393,22561,63000
2016,01,門診,7~12,高雄市,5878,27302,64000
2016,01,門診,7~12,新北市,9704,42002,65000
2016,01,門診,7~12,台中市,5396,32129,66000
2016,01,門診,7~12,台南市,3228,19298,67000
2016,01,門診,7~12,桃園市,4476,21455,68000
2016,01,門診,不詳,連江縣,0,1,09007
2016,01,門診,不詳,金門縣,0,1,09020
2016,01,門診,不詳,彰化縣,2,9,10007
2016,01,門診,不詳,嘉義縣,0,1,10010
2016,01,門診,不詳,基隆市,0,1,10017
2016,01,門診,不詳,新竹市,0,1,10018
2016,01,門診,不詳,台北市,0,21,63000
2016,01,門診,不詳,新北市,0,5,65000
2016,01,門診,不詳,台中市,1,10,66000
2016,01,門診,不詳,台南市,1,3,67000
2016,01,門診,不詳,桃園市,0,8,68000
2016,02,住院,0~2,金門縣,1,1,09020
2016,02,住院,0~2,宜蘭縣,0,41,10002
2016,02,住院,0~2,新竹縣,0,1,10004
2016,02,住院,0~2,苗栗縣,1,6,10005
2016,02,住院,0~2,彰化縣,2,78,10007
2016,02,住院,0~2,南投縣,0,2,10008
2016,02,住院,0~2,雲林縣,0,9,10009
2016,02,住院,0~2,嘉義縣,0,8,10010
2016,02,住院,0~2,屏東縣,0,8,10013
2016,02,住院,0~2,台東縣,0,1,10014
2016,02,住院,0~2,花蓮縣,1,6,10015
2016,02,住院,0~2,基隆市,0,11,10017
2016,02,住院,0~2,新竹市,0,29,10018
2016,02,住院,0~2,嘉義市,0,1,10020
2016,02,住院,0~2,台北市,0,152,63000
2016,02,住院,0~2,高雄市,0,46,64000
2016,02,住院,0~2,新北市,0,38,65000
2016,02,住院,0~2,台中市,2,124,66000
2016,02,住院,0~2,台南市,0,25,67000
2016,02,住院,0~2,桃園市,0,43,68000
2016,02,住院,13~15,宜蘭縣,0,8,10002
2016,02,住院,13~15,新竹縣,0,1,10004
2016,02,住院,13~15,苗栗縣,0,6,10005
2016,02,住院,13~15,彰化縣,0,11,10007
2016,02,住院,13~15,南投縣,0,1,10008
2016,02,住院,13~15,雲林縣,0,8,10009
2016,02,住院,13~15,嘉義縣,0,1,10010
2016,02,住院,13~15,屏東縣,0,1,10013
2016,02,住院,13~15,花蓮縣,0,2,10015
2016,02,住院,13~15,基隆市,0,6,10017
2016,02,住院,13~15,新竹市,0,4,10018
2016,02,住院,13~15,嘉義市,0,1,10020
2016,02,住院,13~15,台北市,0,42,63000
2016,02,住院,13~15,高雄市,0,14,64000
2016,02,住院,13~15,新北市,0,12,65000
2016,02,住院,13~15,台中市,0,26,66000
2016,02,住院,13~15,台南市,0,5,67000
2016,02,住院,13~15,桃園市,0,11,68000
2016,02,住院,16~18,宜蘭縣,0,9,10002
2016,02,住院,16~18,新竹縣,0,2,10004
2016,02,住院,16~18,苗栗縣,0,8,10005
2016,02,住院,16~18,彰化縣,0,22,10007
2016,02,住院,16~18,南投縣,0,2,10008
2016,02,住院,16~18,雲林縣,0,6,10009
2016,02,住院,16~18,嘉義縣,0,2,10010
2016,02,住院,16~18,屏東縣,0,3,10013
2016,02,住院,16~18,花蓮縣,0,1,10015
2016,02,住院,16~18,基隆市,0,5,10017
2016,02,住院,16~18,新竹市,0,6,10018
2016,02,住院,16~18,台北市,0,58,63000
2016,02,住院,16~18,高雄市,0,21,64000
2016,02,住院,16~18,新北市,0,11,65000
2016,02,住院,16~18,台中市,0,31,66000
2016,02,住院,16~18,台南市,0,5,67000
2016,02,住院,16~18,桃園市,1,18,68000
2016,02,住院,19~24,宜蘭縣,0,16,10002
2016,02,住院,19~24,新竹縣,0,7,10004
2016,02,住院,19~24,苗栗縣,0,15,10005
2016,02,住院,19~24,彰化縣,0,61,10007
2016,02,住院,19~24,南投縣,0,12,10008
2016,02,住院,19~24,雲林縣,0,22,10009
2016,02,住院,19~24,嘉義縣,0,10,10010
2016,02,住院,19~24,屏東縣,0,15,10013
2016,02,住院,19~24,花蓮縣,0,21,10015
2016,02,住院,19~24,基隆市,0,6,10017
2016,02,住院,19~24,新竹市,0,33,10018
2016,02,住院,19~24,嘉義市,0,7,10020
2016,02,住院,19~24,台北市,3,215,63000
2016,02,住院,19~24,高雄市,0,93,64000
2016,02,住院,19~24,新北市,0,57,65000
2016,02,住院,19~24,台中市,0,136,66000
2016,02,住院,19~24,台南市,0,54,67000
2016,02,住院,19~24,桃園市,0,61,68000
2016,02,住院,25~64,金門縣,0,15,09020
2016,02,住院,25~64,宜蘭縣,0,276,10002
2016,02,住院,25~64,新竹縣,0,61,10004
2016,02,住院,25~64,苗栗縣,1,229,10005
2016,02,住院,25~64,彰化縣,1,929,10007
2016,02,住院,25~64,南投縣,0,118,10008
2016,02,住院,25~64,雲林縣,0,268,10009
2016,02,住院,25~64,嘉義縣,0,163,10010
2016,02,住院,25~64,屏東縣,1,210,10013
2016,02,住院,25~64,台東縣,0,8,10014
2016,02,住院,25~64,花蓮縣,0,149,10015
2016,02,住院,25~64,澎湖縣,0,2,10016
2016,02,住院,25~64,基隆市,0,158,10017
2016,02,住院,25~64,新竹市,1,511,10018
2016,02,住院,25~64,嘉義市,0,83,10020
2016,02,住院,25~64,台北市,11,4087,63000
2016,02,住院,25~64,高雄市,3,1462,64000
2016,02,住院,25~64,新北市,2,955,65000
2016,02,住院,25~64,台中市,9,1726,66000
2016,02,住院,25~64,台南市,6,1214,67000
2016,02,住院,25~64,桃園市,2,1032,68000
2016,02,住院,3~6,金門縣,0,1,09020
2016,02,住院,3~6,宜蘭縣,0,59,10002
2016,02,住院,3~6,新竹縣,0,5,10004
2016,02,住院,3~6,苗栗縣,0,11,10005
2016,02,住院,3~6,彰化縣,2,89,10007
2016,02,住院,3~6,南投縣,0,9,10008
2016,02,住院,3~6,雲林縣,1,6,10009
2016,02,住院,3~6,嘉義縣,0,6,10010
2016,02,住院,3~6,屏東縣,1,9,10013
2016,02,住院,3~6,花蓮縣,0,4,10015
2016,02,住院,3~6,基隆市,0,13,10017
2016,02,住院,3~6,新竹市,0,26,10018
2016,02,住院,3~6,嘉義市,0,3,10020
2016,02,住院,3~6,台北市,2,171,63000
2016,02,住院,3~6,高雄市,1,56,64000
2016,02,住院,3~6,新北市,0,42,65000
2016,02,住院,3~6,台中市,1,106,66000
2016,02,住院,3~6,台南市,0,15,67000
2016,02,住院,3~6,桃園市,0,57,68000
2016,02,住院,65+,金門縣,0,9,09020
2016,02,住院,65+,宜蘭縣,0,250,10002
2016,02,住院,65+,新竹縣,0,44,10004
2016,02,住院,65+,苗栗縣,1,236,10005
2016,02,住院,65+,彰化縣,1,676,10007
2016,02,住院,65+,南投縣,0,116,10008
2016,02,住院,65+,雲林縣,1,282,10009
2016,02,住院,65+,嘉義縣,0,165,10010
2016,02,住院,65+,屏東縣,0,123,10013
2016,02,住院,65+,台東縣,0,3,10014
2016,02,住院,65+,花蓮縣,0,96,10015
2016,02,住院,65+,澎湖縣,0,1,10016
2016,02,住院,65+,基隆市,1,132,10017
2016,02,住院,65+,新竹市,0,299,10018
2016,02,住院,65+,嘉義市,0,24,10020
2016,02,住院,65+,台北市,8,2902,63000
2016,02,住院,65+,高雄市,1,838,64000
2016,02,住院,65+,新北市,2,509,65000
2016,02,住院,65+,台中市,7,1136,66000
2016,02,住院,65+,台南市,2,724,67000
2016,02,住院,65+,桃園市,1,610,68000
2016,02,住院,7~12,宜蘭縣,0,28,10002
2016,02,住院,7~12,新竹縣,0,3,10004
2016,02,住院,7~12,苗栗縣,0,12,10005
2016,02,住院,7~12,彰化縣,0,44,10007
2016,02,住院,7~12,南投縣,0,3,10008
2016,02,住院,7~12,雲林縣,0,7,10009
2016,02,住院,7~12,嘉義縣,0,4,10010
2016,02,住院,7~12,屏東縣,0,1,10013
2016,02,住院,7~12,基隆市,0,5,10017
2016,02,住院,7~12,新竹市,0,9,10018
2016,02,住院,7~12,台北市,2,103,63000
2016,02,住院,7~12,高雄市,0,29,64000
2016,02,住院,7~12,新北市,0,19,65000
2016,02,住院,7~12,台中市,0,71,66000
2016,02,住院,7~12,台南市,0,10,67000
2016,02,住院,7~12,桃園市,0,38,68000
2016,02,住院,不詳,台北市,0,3,63000
2016,02,住院,不詳,台中市,0,1,66000
2016,02,門診,0~2,連江縣,5,16,09007
2016,02,門診,0~2,金門縣,96,368,09020
2016,02,門診,0~2,宜蘭縣,993,2238,10002
2016,02,門診,0~2,新竹縣,1153,3327,10004
2016,02,門診,0~2,苗栗縣,719,2796,10005
2016,02,門診,0~2,彰化縣,1804,7423,10007
2016,02,門診,0~2,南投縣,822,2536,10008
2016,02,門診,0~2,雲林縣,1005,3444,10009
2016,02,門診,0~2,嘉義縣,289,1263,10010
2016,02,門診,0~2,屏東縣,1002,4114,10013
2016,02,門診,0~2,台東縣,286,789,10014
2016,02,門診,0~2,花蓮縣,431,1609,10015
2016,02,門診,0~2,澎湖縣,103,429,10016
2016,02,門診,0~2,基隆市,340,1678,10017
2016,02,門診,0~2,新竹市,779,4121,10018
2016,02,門診,0~2,嘉義市,422,2259,10020
2016,02,門診,0~2,台北市,2832,12436,63000
2016,02,門診,0~2,高雄市,3347,14797,64000
2016,02,門診,0~2,新北市,6838,23568,65000
2016,02,門診,0~2,台中市,3649,18660,66000
2016,02,門診,0~2,台南市,1915,10122,67000
2016,02,門診,0~2,桃園市,3316,12574,68000
2016,02,門診,13~15,連江縣,0,11,09007
2016,02,門診,13~15,金門縣,92,329,09020
2016,02,門診,13~15,宜蘭縣,582,1976,10002
2016,02,門診,13~15,新竹縣,535,1986,10004
2016,02,門診,13~15,苗栗縣,489,1908,10005
2016,02,門診,13~15,彰化縣,1107,5625,10007
2016,02,門診,13~15,南投縣,452,2256,10008
2016,02,門診,13~15,雲林縣,809,3369,10009
2016,02,門診,13~15,嘉義縣,476,1689,10010
2016,02,門診,13~15,屏東縣,539,2932,10013
2016,02,門診,13~15,台東縣,189,706,10014
2016,02,門診,13~15,花蓮縣,270,1186,10015
2016,02,門診,13~15,澎湖縣,77,553,10016
2016,02,門診,13~15,基隆市,280,1596,10017
2016,02,門診,13~15,新竹市,368,2188,10018
2016,02,門診,13~15,嘉義市,290,1872,10020
2016,02,門診,13~15,台北市,1912,9584,63000
2016,02,門診,13~15,高雄市,2026,9840,64000
2016,02,門診,13~15,新北市,4324,17877,65000
2016,02,門診,13~15,台中市,2209,12764,66000
2016,02,門診,13~15,台南市,1442,7644,67000
2016,02,門診,13~15,桃園市,1859,9204,68000
2016,02,門診,16~18,連江縣,4,19,09007
2016,02,門診,16~18,金門縣,71,382,09020
2016,02,門診,16~18,宜蘭縣,448,1706,10002
2016,02,門診,16~18,新竹縣,509,1871,10004
2016,02,門診,16~18,苗栗縣,502,2049,10005
2016,02,門診,16~18,彰化縣,1118,5769,10007
2016,02,門診,16~18,南投縣,352,1917,10008
2016,02,門診,16~18,雲林縣,824,3349,10009
2016,02,門診,16~18,嘉義縣,454,1584,10010
2016,02,門診,16~18,屏東縣,632,3035,10013
2016,02,門診,16~18,台東縣,184,706,10014
2016,02,門診,16~18,花蓮縣,276,1279,10015
2016,02,門診,16~18,澎湖縣,62,480,10016
2016,02,門診,16~18,基隆市,312,1766,10017
2016,02,門診,16~18,新竹市,282,2173,10018
2016,02,門診,16~18,嘉義市,308,2098,10020
2016,02,門診,16~18,台北市,1989,10475,63000
2016,02,門診,16~18,高雄市,2118,10949,64000
2016,02,門診,16~18,新北市,4207,18475,65000
2016,02,門診,16~18,台中市,2440,13533,66000
2016,02,門診,16~18,台南市,1304,7878,67000
2016,02,門診,16~18,桃園市,1841,9492,68000
2016,02,門診,19~24,連江縣,40,161,09007
2016,02,門診,19~24,金門縣,125,644,09020
2016,02,門診,19~24,宜蘭縣,591,3047,10002
2016,02,門診,19~24,新竹縣,694,3099,10004
2016,02,門診,19~24,苗栗縣,675,3453,10005
