確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
19CoV,2020,03,屏東縣,屏東市,F,1,30~34,1,10013,10013010
19CoV,2020,03,屏東縣,屏東市,M,1,55~59,1,10013,10013010
19CoV,2020,03,屏東縣,東港鎮,M,1,20~24,1,10013,10013030
19CoV,2020,03,屏東縣,竹田鄉,M,1,30~34,1,10013,10013140
19CoV,2020,03,屏東縣,麟洛鄉,F,1,55~59,1,10013,10013070
19CoV,2020,03,屏東縣,麟洛鄉,M,1,65~69,1,10013,10013070
19CoV,2020,03,基隆市,七堵區,F,1,20~24,1,10017,10017020
19CoV,2020,03,基隆市,仁愛區,F,1,60~64,1,10017,10017040
19CoV,2020,03,基隆市,仁愛區,M,0,65~69,1,10017,10017040
19CoV,2020,03,基隆市,安樂區,F,1,35~39,1,10017,10017060
19CoV,2020,03,新竹市,北區,M,1,20~24,1,10018,10018020
