年別,縣市別,MDR總人數,團隊照護中人數,未加入團隊人數,男性人數,女性人數,0-49歲人數,50-64歲人數,65歲以上人數,MDR-TB人數,XDR-TB人數
2020,10020,1,1,0,1,0,0,1,0,1,0
2020,10021,1,1,0,1,0,0,1,0,1,0
2020,64000,10,8,2,8,2,1,4,5,10,0
2020,10013,5,4,1,4,1,0,2,3,5,0
2020,10015,3,3,0,1,2,3,0,0,3,0
2020,10014,2,2,0,1,1,0,0,2,2,0
2020,-,74,62,12,53,21,14,20,40,73,1
2019,63000,9,6,3,6,3,0,1,8,9,0
2019,65000,14,12,2,10,4,0,5,9,14,0
2019,10017,2,2,0,1,1,1,1,0,2,0
2019,68000,5,4,1,4,1,2,1,2,5,0
2019,10004,4,3,1,4,0,1,3,0,4,0
2019,10005,2,2,0,1,1,1,0,1,2,0
2019,10019,7,6,1,5,2,2,2,3,7,0
2019,10008,2,2,0,2,0,1,0,1,2,0
2019,10007,7,6,1,7,0,0,2,5,7,0
2019,10009,2,2,0,2,0,2,0,0,2,0
2019,10010,4,3,1,3,1,1,1,2,4,0
2019,10020,1,0,1,0,1,0,0,1,1,0
2019,10021,4,4,0,4,0,2,1,1,4,0
2019,64000,3,2,1,3,0,0,1,2,3,0
2019,10013,6,4,2,5,1,0,3,3,6,0
2019,10015,6,6,0,4,2,3,0,3,6,0
2019,10014,1,1,0,1,0,0,1,0,1,0
2019,-,79,65,14,62,17,16,22,41,79,0
2018,63000,6,6,0,5,1,1,3,2,5,1
2018,65000,23,19,4,20,3,5,10,8,22,1
2018,10002,4,3,1,4,0,0,2,2,4,0
2018,10017,5,5,0,5,0,4,0,1,5,0
2018,68000,13,13,0,8,5,1,7,5,13,0
2018,10004,2,1,1,1,1,0,0,2,2,0
2018,10018,2,2,0,2,0,0,1,1,2,0
2018,10005,2,2,0,1,1,0,1,1,1,1
2018,10019,10,8,2,7,3,3,3,4,10,0
2018,10008,5,5,0,3,2,0,2,3,4,1
2018,10007,6,6,0,5,1,2,2,2,6,0
2018,10009,1,0,1,1,0,0,0,1,1,0
2018,10010,5,5,0,4,1,1,2,2,5,0
2018,10021,7,7,0,5,2,1,3,3,7,0
2018,64000,11,9,2,9,2,4,3,4,11,0
2018,10013,8,8,0,6,2,2,5,1,8,0
2018,10015,9,8,1,7,2,3,1,5,9,0
2018,10014,1,1,0,1,0,1,0,0,1,0
2018,-,120,108,12,94,26,28,45,47,116,4
2017,63000,4,4,0,2,2,0,1,3,4,0
2017,65000,26,24,2,19,7,10,11,5,26,0
2017,10017,2,2,0,1,1,1,0,1,2,0
2017,68000,9,8,1,7,2,5,1,3,9,0
2017,10004,1,1,0,1,0,0,1,0,1,0
2017,10018,1,0,1,0,1,0,0,1,1,0
2017,10005,2,2,0,1,1,0,2,0,2,0
2017,10019,10,9,1,6,4,3,1,6,10,0
2017,10008,1,1,0,1,0,1,0,0,1,0
2017,10007,2,2,0,2,0,1,0,1,2,0
2017,10009,4,4,0,3,1,0,2,2,4,0
2017,10010,6,4,2,4,2,1,1,4,6,0
2017,10020,1,1,0,1,0,0,1,0,1,0
2017,10021,7,6,1,4,3,3,0,4,7,0
2017,64000,11,10,1,10,1,2,4,5,11,0
2017,10013,7,7,0,4,3,0,3,4,7,0
2017,10015,9,9,0,8,1,4,5,0,9,0
2017,-,103,94,9,74,29,31,33,39,103,0
2016,63000,11,10,1,8,3,2,2,7,11,0
2016,65000,19,15,4,14,5,4,4,11,19,0
2016,10002,4,3,1,3,1,0,0,4,4,0
2016,10017,2,2,0,2,0,0,2,0,2,0
2016,68000,8,8,0,7,1,3,2,3,7,1
2016,10004,1,1,0,1,0,0,1,0,1,0
2016,10018,1,1,0,1,0,0,0,1,1,0
2016,10005,4,4,0,4,0,3,1,0,3,1
2016,10019,16,14,2,12,4,5,5,6,16,0
2016,10008,2,2,0,1,1,0,1,1,2,0
2016,10007,6,3,3,6,0,1,0,5,6,0
2016,10009,4,3,1,1,3,1,1,2,4,0
2016,10010,1,0,1,1,0,0,0,1,1,0
2016,10020,2,2,0,2,0,1,0,1,2,0
2016,10021,8,6,2,7,1,2,0,6,8,0
2016,64000,13,11,2,10,3,2,4,7,13,0
2016,10013,3,3,0,2,1,0,2,1,3,0
2016,10015,4,3,1,3,1,2,2,0,4,0
2016,10014,3,3,0,3,0,0,2,1,3,0
2016,-,112,94,18,88,24,26,29,57,110,2
2015,63000,4,4,0,3,1,3,0,1,4,0
2015,65000,15,13,2,12,3,7,5,3,15,0
2015,10002,1,1,0,1,0,0,1,0,1,0
2015,10017,6,6,0,3,3,1,4,1,6,0
2015,68000,7,6,1,5,2,4,2,1,7,0
2015,10004,2,2,0,0,2,2,0,0,2,0
2015,10018,2,0,2,2,0,0,0,2,2,0
