確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
487a,2005,01,新北市,淡水區,M,0,10~14,1,65000,65000100
487a,2005,01,台南市,新化區,M,0,20~24,1,67000,67000180
487a,2005,01,桃園市,桃園區,F,0,50~54,1,68000,68000010
487a,2005,02,宜蘭縣,宜蘭市,F,0,10~14,1,10002,10002010
487a,2005,02,屏東縣,里港鄉,F,0,30~34,1,10013,10013090
487a,2005,02,新竹市,其他,F,0,0,1,10018,10018999
487a,2005,02,台北市,中山區,M,0,10~14,1,63000,63000040
487a,2005,02,台北市,中山區,F,0,40~44,1,63000,63000040
487a,2005,02,新北市,中和區,M,0,55~59,1,65000,65000030
487a,2005,02,台中市,大肚區,F,0,3,1,66000,66000240
487a,2005,02,桃園市,復興區,M,0,30~34,1,68000,68000130
487a,2005,02,桃園市,桃園區,F,0,55~59,1,68000,68000010
487a,2005,02,桃園市,蘆竹區,M,0,70+,1,68000,68000050
487a,2005,03,新竹縣,竹北市,F,0,1,1,10004,10004010
487a,2005,03,新竹縣,關西鎮,F,0,5~9,1,10004,10004040
487a,2005,03,台北市,松山區,F,0,60~64,1,63000,63000010
487a,2005,03,台中市,霧峰區,F,0,5~9,1,66000,66000260
487a,2005,04,台北市,士林區,M,0,50~54,1,63000,63000110
487a,2005,04,桃園市,蘆竹區,F,0,40~44,1,68000,68000050
487a,2005,05,嘉義縣,布袋鎮,M,1,30~34,1,10010,10010030
487a,2005,06,屏東縣,九如鄉,F,0,5~9,1,10013,10013080
487a,2005,06,花蓮縣,花蓮市,M,0,70+,1,10015,10015010
487a,2005,07,台北市,北投區,M,0,70+,1,63000,63000120
487a,2005,07,高雄市,美濃區,F,0,70+,1,64000,64000310
487a,2005,08,新北市,五股區,F,0,70+,1,65000,65000150
487a,2005,08,台中市,梧棲區,M,0,3,1,66000,66000140
487a,2005,09,嘉義縣,朴子市,F,0,70+,1,10010,10010020
487a,2005,10,宜蘭縣,礁溪鄉,F,0,45~49,1,10002,10002050
487a,2006,01,新北市,板橋區,M,0,5~9,1,65000,65000010
487a,2006,01,台中市,豐原區,M,0,5~9,1,66000,66000090
487a,2006,02,新北市,板橋區,M,0,50~54,1,65000,65000010
487a,2006,02,台南市,永康區,F,0,70+,1,67000,67000310
487a,2006,03,台北市,中山區,M,0,2,1,63000,63000040
487a,2006,03,台北市,松山區,M,0,45~49,1,63000,63000010
487a,2006,03,新北市,泰山區,F,0,35~39,1,65000,65000160
487a,2006,03,台中市,北屯區,F,0,5~9,1,66000,66000080
487a,2006,04,台北市,大安區,F,0,25~29,1,63000,63000030
487a,2006,04,桃園市,八德區,F,0,65~69,1,68000,68000080
487a,2006,08,彰化縣,社頭鄉,F,0,15~19,1,10007,10007170
487a,2006,11,彰化縣,員林市,M,0,15~19,1,10007,10007100
