確定病名,發病年份,發病月份,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
0812,2003,05,台東縣,關山鎮,M,0,25~29,1,10014,10014030
0812,2003,05,台東縣,鹿野鄉,M,0,65~69,1,10014,10014050
0812,2003,05,花蓮縣,吉安鄉,M,0,40~44,1,10015,10015050
0812,2003,05,花蓮縣,壽豐鄉,M,0,35~39,1,10015,10015060
0812,2003,05,花蓮縣,花蓮市,M,0,20~24,1,10015,10015010
0812,2003,05,花蓮縣,花蓮市,M,0,5~9,1,10015,10015010
0812,2003,05,澎湖縣,西嶼鄉,F,0,60~64,1,10016,10016040
0812,2003,05,澎湖縣,馬公市,F,0,25~29,1,10016,10016010
0812,2003,05,台中市,南屯區,M,0,15~19,1,66000,66000070
0812,2003,05,台中市,西屯區,F,0,25~29,1,66000,66000060
0812,2003,05,台南市,東山區,M,0,20~24,1,67000,67000060
0812,2003,06,連江縣,南竿鄉,M,1,20~24,1,09007,09007010
0812,2003,06,金門縣,金城鎮,M,0,20~24,1,09020,09020010
0812,2003,06,金門縣,金城鎮,F,0,55~59,1,09020,09020010
0812,2003,06,金門縣,金沙鎮,M,0,10~14,1,09020,09020020
0812,2003,06,金門縣,金沙鎮,M,0,55~59,1,09020,09020020
0812,2003,06,金門縣,金湖鎮,M,0,25~29,1,09020,09020030
0812,2003,06,金門縣,金湖鎮,M,0,65~69,1,09020,09020030
0812,2003,06,彰化縣,北斗鎮,M,0,20~24,1,10007,10007190
0812,2003,06,南投縣,仁愛鄉,F,0,70+,1,10008,10008130
0812,2003,06,南投縣,信義鄉,F,0,50~54,1,10008,10008120
0812,2003,06,南投縣,國姓鄉,F,0,50~54,1,10008,10008100
0812,2003,06,南投縣,埔里鎮,F,0,55~59,1,10008,10008020
0812,2003,06,南投縣,埔里鎮,M,0,55~59,1,10008,10008020
0812,2003,06,南投縣,竹山鎮,M,0,50~54,1,10008,10008040
0812,2003,06,屏東縣,春日鄉,M,0,15~19,1,10013,10013310
0812,2003,06,台東縣,延平鄉,M,0,3,1,10014,10014130
0812,2003,06,台東縣,成功鎮,F,0,70+,1,10014,10014020
0812,2003,06,花蓮縣,光復鄉,M,0,45~49,1,10015,10015070
0812,2003,06,花蓮縣,光復鄉,F,0,55~59,1,10015,10015070
0812,2003,06,花蓮縣,卓溪鄉,F,0,10~14,1,10015,10015130
0812,2003,06,花蓮縣,吉安鄉,F,0,45~49,1,10015,10015050
0812,2003,06,花蓮縣,壽豐鄉,F,0,60~64,1,10015,10015060
0812,2003,06,花蓮縣,玉里鎮,F,0,55~59,1,10015,10015030
0812,2003,06,花蓮縣,花蓮市,F,0,35~39,1,10015,10015010
0812,2003,06,花蓮縣,豐濱鄉,F,0,25~29,1,10015,10015080
0812,2003,06,花蓮縣,豐濱鄉,M,0,40~44,1,10015,10015080
0812,2003,06,澎湖縣,湖西鄉,M,0,10~14,1,10016,10016020
0812,2003,06,澎湖縣,湖西鄉,F,0,30~34,1,10016,10016020
0812,2003,06,澎湖縣,湖西鄉,M,0,30~34,1,10016,10016020
0812,2003,06,澎湖縣,湖西鄉,M,0,5~9,1,10016,10016020
0812,2003,06,澎湖縣,馬公市,F,0,50~54,1,10016,10016010
0812,2003,06,澎湖縣,馬公市,M,0,50~54,1,10016,10016010
0812,2003,06,嘉義市,其他,M,0,20~24,1,10020,10020999
0812,2003,06,台北市,士林區,F,0,65~69,1,63000,63000110
0812,2003,06,新北市,三重區,M,0,20~24,1,65000,65000020
