確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
0703,2014,18,新北市,樹林區,M,0,25~29,1,65000,65000070
0703,2014,18,台南市,安南區,M,0,20~24,1,67000,67000350
0703,2014,18,桃園市,平鎮區,M,0,35~39,1,68000,68000100
0703,2014,18,桃園市,桃園區,M,0,55~59,1,68000,68000010
0703,2014,20,台北市,北投區,M,1,55~59,1,63000,63000120
0703,2014,20,台中市,西屯區,F,0,30~34,1,66000,66000060
0703,2014,20,桃園市,桃園區,F,0,25~29,1,68000,68000010
0703,2014,22,新北市,淡水區,M,0,25~29,1,65000,65000100
0703,2014,22,台中市,北區,F,0,35~39,1,66000,66000050
0703,2014,23,宜蘭縣,冬山鄉,M,0,30~34,1,10002,10002080
0703,2014,23,彰化縣,秀水鄉,F,0,25~29,1,10007,10007070
0703,2014,23,台北市,大安區,M,0,40~44,1,63000,63000030
0703,2014,23,桃園市,桃園區,F,0,25~29,1,68000,68000010
0703,2014,23,桃園市,龍潭區,M,0,0,1,68000,68000090
0703,2014,24,台南市,柳營區,F,0,30~34,1,67000,67000040
0703,2014,25,新竹縣,寶山鄉,M,0,45~49,1,10004,10004100
0703,2014,25,基隆市,七堵區,M,0,30~34,1,10017,10017020
0703,2014,25,台北市,大同區,M,0,60~64,1,63000,63000060
0703,2014,25,高雄市,苓雅區,M,0,30~34,1,64000,64000080
0703,2014,25,桃園市,八德區,M,0,45~49,1,68000,68000080
0703,2014,27,台北市,中正區,F,0,50~54,1,63000,63000050
0703,2014,27,台北市,士林區,M,0,35~39,1,63000,63000110
0703,2014,27,新北市,新店區,M,0,25~29,1,65000,65000060
0703,2014,27,新北市,蘆洲區,F,0,30~34,1,65000,65000140
0703,2014,27,桃園市,桃園區,M,0,45~49,1,68000,68000010
0703,2014,28,彰化縣,鹿港鎮,M,0,35~39,1,10007,10007020
0703,2014,28,新北市,土城區,F,0,40~44,1,65000,65000130
0703,2014,28,新北市,板橋區,F,0,30~34,1,65000,65000010
0703,2014,28,新北市,淡水區,M,0,40~44,1,65000,65000100
0703,2014,29,宜蘭縣,三星鄉,M,0,30~34,1,10002,10002100
0703,2014,29,桃園市,桃園區,M,0,30~34,1,68000,68000010
0703,2014,30,新北市,五股區,M,0,40~44,1,65000,65000150
0703,2014,30,桃園市,大溪區,M,0,40~44,1,68000,68000030
0703,2014,31,苗栗縣,頭份市,M,0,45~49,1,10005,10005050
0703,2014,31,新北市,三峽區,M,0,30~34,1,65000,65000090
0703,2014,31,新北市,三重區,M,0,35~39,1,65000,65000020
0703,2014,31,新北市,新莊區,F,0,50~54,1,65000,65000050
