確定病名,個案研判日,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
19SC,2024-09-10,台中市,烏日區,F,0,70+,1,66000,66000230
19SC,2024-09-10,台南市,新市區,F,0,70+,1,67000,67000200
19SC,2024-09-10,台南市,永康區,M,0,60~64,1,67000,67000310
19SC,2024-09-10,台南市,永康區,M,0,70+,1,67000,67000310
19SC,2024-09-11,雲林縣,北港鎮,F,0,70+,1,10009,10009060
19SC,2024-09-11,嘉義縣,水上鄉,M,0,60~64,1,10010,10010120
19SC,2024-09-11,新竹市,東區,M,0,70+,1,10018,10018010
19SC,2024-09-11,嘉義市,西區,M,0,70+,1,10020,10020020
19SC,2024-09-11,台北市,大安區,M,0,70+,1,63000,63000030
19SC,2024-09-11,新北市,三峽區,F,1,70+,1,65000,65000090
19SC,2024-09-11,桃園市,蘆竹區,M,0,65~69,1,68000,68000050
19SC,2024-09-12,嘉義市,東區,M,0,70+,1,10020,10020010
19SC,2024-09-12,嘉義市,西區,M,0,70+,1,10020,10020020
19SC,2024-09-12,桃園市,大園區,M,0,70+,1,68000,68000060
19SC,2024-09-13,彰化縣,埔心鄉,F,0,70+,1,10007,10007150
19SC,2024-09-13,彰化縣,社頭鄉,M,0,55~59,1,10007,10007170
19SC,2024-09-13,花蓮縣,富里鄉,F,0,70+,1,10015,10015100
19SC,2024-09-13,高雄市,三民區,M,0,70+,1,64000,64000050
19SC,2024-09-13,高雄市,三民區,M,0,70+,1,64000,64000051
19SC,2024-09-13,高雄市,三民區,M,0,70+,1,64000,64000052
19SC,2024-09-13,高雄市,岡山區,F,0,60~64,1,64000,64000190
19SC,2024-09-13,台中市,北區,M,0,70+,1,66000,66000050
19SC,2024-09-13,桃園市,大園區,M,0,40~44,1,68000,68000060
19SC,2024-09-15,高雄市,岡山區,M,0,70+,1,64000,64000190
19SC,2024-09-15,台南市,東山區,M,0,70+,1,67000,67000060
19SC,2024-09-16,南投縣,竹山鎮,M,0,65~69,1,10008,10008040
19SC,2024-09-16,新北市,新店區,F,0,70+,1,65000,65000060
19SC,2024-09-16,新北市,汐止區,M,0,70+,1,65000,65000110
19SC,2024-09-16,新北市,泰山區,F,0,70+,1,65000,65000160
19SC,2024-09-16,台中市,北屯區,M,0,70+,1,66000,66000080
19SC,2024-09-16,台中市,沙鹿區,F,0,70+,1,66000,66000130
19SC,2024-09-16,台南市,安南區,M,0,70+,1,67000,67000350
19SC,2024-09-16,台南市,新營區,F,0,70+,1,67000,67000010
19SC,2024-09-16,台南市,玉井區,M,0,70+,1,67000,67000230
19SC,2024-09-16,桃園市,中壢區,F,0,70+,1,68000,68000020
19SC,2024-09-18,新竹縣,新埔鎮,M,0,70+,1,10004,10004030
19SC,2024-09-18,彰化縣,彰化市,M,0,70+,1,10007,10007010
19SC,2024-09-18,南投縣,名間鄉,F,0,70+,1,10008,10008060
19SC,2024-09-18,南投縣,竹山鎮,M,0,65~69,1,10008,10008040
19SC,2024-09-18,雲林縣,麥寮鄉,M,0,70+,1,10009,10009130
19SC,2024-09-18,嘉義縣,民雄鄉,M,0,65~69,1,10010,10010050
19SC,2024-09-18,屏東縣,東港鎮,M,0,15~19,1,10013,10013030
19SC,2024-09-18,屏東縣,枋寮鄉,M,0,70+,1,10013,10013160
19SC,2024-09-18,台東縣,台東市,F,0,65~69,1,10014,10014010
19SC,2024-09-18,新竹市,北區,M,0,70+,1,10018,10018020
19SC,2024-09-18,新竹市,東區,F,0,70+,1,10018,10018010
19SC,2024-09-18,新竹市,香山區,M,0,70+,1,10018,10018030
19SC,2024-09-18,台北市,松山區,M,0,70+,1,63000,63000010
19SC,2024-09-18,高雄市,三民區,M,0,70+,1,64000,64000050
19SC,2024-09-18,高雄市,三民區,M,0,70+,1,64000,64000051
19SC,2024-09-18,高雄市,三民區,M,0,70+,1,64000,64000052
19SC,2024-09-18,高雄市,鳳山區,M,0,70+,1,64000,64000120
19SC,2024-09-18,高雄市,鼓山區,M,0,50~54,1,64000,64000020
19SC,2024-09-18,新北市,三峽區,M,0,65~69,1,65000,65000090
19SC,2024-09-18,台中市,大里區,M,0,65~69,1,66000,66000280
19SC,2024-09-18,台中市,太平區,M,0,70+,1,66000,66000270
19SC,2024-09-18,台中市,潭子區,M,0,65~69,1,66000,66000170
19SC,2024-09-18,台中市,神岡區,M,0,70+,1,66000,66000160
19SC,2024-09-18,桃園市,桃園區,M,0,70+,1,68000,68000010
19SC,2024-09-18,桃園市,蘆竹區,F,0,70+,1,68000,68000050
19SC,2024-09-19,屏東縣,林邊鄉,M,0,70+,1,10013,10013190
19SC,2024-09-19,台北市,大安區,M,0,70+,1,63000,63000030
19SC,2024-09-19,台中市,清水區,F,0,70+,1,66000,66000120
19SC,2024-09-19,台中市,霧峰區,M,0,1,1,66000,66000260
19SC,2024-09-19,台南市,關廟區,M,0,65~69,1,67000,67000290
19SC,2024-09-20,雲林縣,斗南鎮,F,0,70+,1,10009,10009020
19SC,2024-09-20,雲林縣,西螺鎮,F,0,70+,1,10009,10009040
19SC,2024-09-20,嘉義縣,太保市,F,0,70+,1,10010,10010010
19SC,2024-09-20,台中市,梧棲區,M,0,60~64,1,66000,66000140
19SC,2024-09-20,桃園市,平鎮區,F,0,70+,1,68000,68000100
19SC,2024-09-20,桃園市,桃園區,M,0,55~59,1,68000,68000010
19SC,2024-09-21,台中市,西區,M,0,70+,1,66000,66000040
19SC,2024-09-23,新竹縣,寶山鄉,F,0,70+,1,10004,10004100
19SC,2024-09-23,彰化縣,鹿港鎮,F,0,70+,1,10007,10007020
19SC,2024-09-23,花蓮縣,富里鄉,F,0,40~44,1,10015,10015100
19SC,2024-09-23,新竹市,北區,F,0,70+,1,10018,10018020
19SC,2024-09-23,台北市,萬華區,F,0,70+,1,63000,63000070
19SC,2024-09-23,台北市,萬華區,F,0,70+,1,63000,63000071
19SC,2024-09-23,台北市,萬華區,F,0,70+,1,63000,63000072
19SC,2024-09-23,高雄市,三民區,F,0,55~59,1,64000,64000050
19SC,2024-09-23,高雄市,三民區,F,0,55~59,1,64000,64000051
19SC,2024-09-23,高雄市,三民區,F,0,55~59,1,64000,64000052
19SC,2024-09-23,高雄市,彌陀區,M,0,60~64,1,64000,64000280
19SC,2024-09-23,高雄市,苓雅區,M,1,70+,1,64000,64000080
19SC,2024-09-23,台中市,北屯區,F,0,60~64,1,66000,66000080
19SC,2024-09-23,台中市,北屯區,M,0,70+,1,66000,66000080
19SC,2024-09-23,台中市,大里區,M,0,70+,1,66000,66000280
19SC,2024-09-23,台南市,永康區,M,0,65~69,1,67000,67000310
19SC,2024-09-23,桃園市,平鎮區,M,0,70+,2,68000,68000100
19SC,2024-09-24,彰化縣,芳苑鄉,M,0,70+,1,10007,10007230
19SC,2024-09-24,嘉義縣,中埔鄉,F,0,25~29,1,10010,10010130
19SC,2024-09-24,台北市,萬華區,F,0,70+,2,63000,63000070
19SC,2024-09-24,台北市,萬華區,F,0,70+,2,63000,63000071
19SC,2024-09-24,台北市,萬華區,F,0,70+,2,63000,63000072
19SC,2024-09-24,台中市,太平區,M,0,70+,1,66000,66000270
19SC,2024-09-24,台南市,東區,M,0,70+,1,67000,67000320
19SC,2024-09-25,嘉義市,西區,M,0,50~54,1,10020,10020020
19SC,2024-09-25,高雄市,三民區,M,0,70+,1,64000,64000050
19SC,2024-09-25,高雄市,三民區,M,0,70+,1,64000,64000051
19SC,2024-09-25,高雄市,三民區,M,0,70+,1,64000,64000052
19SC,2024-09-25,台中市,北屯區,M,0,70+,1,66000,66000080
19SC,2024-09-25,台中市,豐原區,M,0,55~59,1,66000,66000090
19SC,2024-09-25,桃園市,觀音區,F,0,70+,1,68000,68000120
19SC,2024-09-26,宜蘭縣,蘇澳鎮,F,0,70+,1,10002,10002030
19SC,2024-09-26,嘉義市,東區,M,0,70+,1,10020,10020010
19SC,2024-09-26,台中市,東勢區,F,0,70+,1,66000,66000100
19SC,2024-09-26,台中市,清水區,F,0,70+,1,66000,66000120
19SC,2024-09-26,桃園市,桃園區,M,0,70+,1,68000,68000010
19SC,2024-09-27,台北市,士林區,M,0,70+,1,63000,63000110
19SC,2024-09-27,新北市,汐止區,F,0,70+,1,65000,65000110
19SC,2024-09-27,台中市,南屯區,F,0,70+,1,66000,66000070
19SC,2024-09-27,台南市,東區,M,0,70+,2,67000,67000320
19SC,2024-09-28,彰化縣,花壇鄉,M,0,65~69,1,10007,10007080
19SC,2024-09-28,新北市,三峽區,F,0,65~69,1,65000,65000090
19SC,2024-09-28,新北市,樹林區,F,0,70+,1,65000,65000070
19SC,2024-09-30,苗栗縣,苑裡鎮,F,0,70+,1,10005,10005020
19SC,2024-09-30,彰化縣,員林市,M,0,50~54,1,10007,10007100
19SC,2024-09-30,南投縣,南投市,M,0,70+,1,10008,10008010
19SC,2024-09-30,屏東縣,萬丹鄉,F,0,70+,1,10013,10013050
19SC,2024-09-30,高雄市,前鎮區,M,0,70+,1,64000,64000090
19SC,2024-09-30,新北市,三重區,M,0,60~64,1,65000,65000020
19SC,2024-09-30,新北市,永和區,M,0,25~29,1,65000,65000040
19SC,2024-09-30,台中市,北區,M,0,50~54,1,66000,66000050
19SC,2024-09-30,台中市,大肚區,F,0,70+,1,66000,66000240
19SC,2024-09-30,台中市,東區,F,0,70+,1,66000,66000020
19SC,2024-09-30,台中市,潭子區,M,0,55~59,1,66000,66000170
19SC,2024-10-01,苗栗縣,三義鄉,M,0,60~64,1,10005,10005130
19SC,2024-10-01,台中市,西屯區,F,0,65~69,1,66000,66000060
19SC,2024-10-01,桃園市,觀音區,M,0,70+,1,68000,68000120
19SC,2024-10-02,南投縣,草屯鎮,M,0,70+,1,10008,10008030
19SC,2024-10-03,宜蘭縣,三星鄉,F,0,70+,1,10002,10002100
19SC,2024-10-03,苗栗縣,後龍鎮,F,0,70+,1,10005,10005060
19SC,2024-10-03,桃園市,桃園區,F,0,55~59,1,68000,68000010
19SC,2024-10-04,彰化縣,埤頭鄉,M,0,70+,1,10007,10007220
19SC,2024-10-04,南投縣,南投市,M,0,70+,1,10008,10008010
19SC,2024-10-04,花蓮縣,壽豐鄉,M,0,70+,1,10015,10015060
19SC,2024-10-04,台北市,大安區,F,0,70+,1,63000,63000030
19SC,2024-10-04,高雄市,小港區,M,0,65~69,1,64000,64000110
19SC,2024-10-04,桃園市,大溪區,F,0,70+,1,68000,68000030
19SC,2024-10-04,桃園市,楊梅區,F,0,70+,1,68000,68000040
19SC,2024-10-04,桃園市,龜山區,M,0,70+,1,68000,68000070
19SC,2024-10-05,雲林縣,虎尾鎮,M,0,70+,1,10009,10009030
19SC,2024-10-05,新北市,板橋區,F,0,70+,1,65000,65000010
19SC,2024-10-05,台南市,安平區,M,0,70+,1,67000,67000360
19SC,2024-10-07,金門縣,金城鎮,M,0,70+,1,09020,09020010
19SC,2024-10-07,新竹縣,竹北市,F,0,70+,1,10004,10004010
19SC,2024-10-07,苗栗縣,大湖鄉,F,0,70+,1,10005,10005080
19SC,2024-10-07,嘉義縣,民雄鄉,F,0,70+,1,10010,10010050
19SC,2024-10-07,屏東縣,九如鄉,F,0,70+,1,10013,10013080
19SC,2024-10-07,基隆市,信義區,F,0,70+,1,10017,10017070
19SC,2024-10-07,台北市,北投區,M,0,70+,1,63000,63000120
19SC,2024-10-07,高雄市,前鎮區,F,0,70+,1,64000,64000090
19SC,2024-10-07,高雄市,楠梓區,F,0,70+,1,64000,64000040
19SC,2024-10-07,新北市,板橋區,M,0,65~69,1,65000,65000010
19SC,2024-10-07,新北市,板橋區,M,0,70+,1,65000,65000010
19SC,2024-10-07,新北市,瑞芳區,F,0,70+,1,65000,65000120
19SC,2024-10-07,台中市,豐原區,M,0,70+,1,66000,66000090
19SC,2024-10-07,台南市,南化區,M,0,65~69,1,67000,67000250
19SC,2024-10-07,台南市,新營區,M,0,55~59,1,67000,67000010
19SC,2024-10-07,台南市,柳營區,M,0,60~64,1,67000,67000040
19SC,2024-10-08,高雄市,楠梓區,M,0,65~69,1,64000,64000040
19SC,2024-10-08,台中市,北區,M,0,70+,1,66000,66000050
19SC,2024-10-08,台中市,北屯區,F,0,70+,1,66000,66000080
19SC,2024-10-08,台中市,太平區,M,0,70+,1,66000,66000270
19SC,2024-10-08,台南市,中西區,M,0,70+,1,67000,67000370
19SC,2024-10-08,台南市,安平區,M,0,70+,1,67000,67000360
19SC,2024-10-09,彰化縣,鹿港鎮,F,0,65~69,1,10007,10007020
19SC,2024-10-09,台北市,士林區,M,0,70+,1,63000,63000110
19SC,2024-10-09,新北市,中和區,M,0,70+,1,65000,65000030
19SC,2024-10-09,台中市,大安區,M,0,70+,1,66000,66000220
19SC,2024-10-09,台南市,佳里區,M,0,70+,1,67000,67000120
19SC,2024-10-10,台北市,北投區,F,0,70+,1,63000,63000120
19SC,2024-10-11,彰化縣,北斗鎮,M,0,70+,1,10007,10007190
19SC,2024-10-11,新北市,新莊區,M,0,70+,1,65000,65000050
19SC,2024-10-11,新北市,汐止區,M,0,70+,1,65000,65000110
19SC,2024-10-11,台中市,北屯區,M,0,50~54,1,66000,66000080
19SC,2024-10-11,台中市,北屯區,M,0,70+,1,66000,66000080
19SC,2024-10-11,台中市,大里區,M,0,65~69,1,66000,66000280
19SC,2024-10-11,台中市,清水區,F,0,70+,1,66000,66000120
19SC,2024-10-11,桃園市,龜山區,F,0,60~64,1,68000,68000070
19SC,2024-10-12,苗栗縣,竹南鎮,M,0,70+,1,10005,10005040
19SC,2024-10-12,台南市,鹽水區,F,0,70+,1,67000,67000020
19SC,2024-10-14,苗栗縣,苑裡鎮,M,0,70+,1,10005,10005020
19SC,2024-10-14,彰化縣,二林鎮,M,0,70+,1,10007,10007200
19SC,2024-10-14,嘉義縣,大林鎮,M,0,65~69,1,10010,10010040
19SC,2024-10-14,基隆市,仁愛區,M,0,70+,1,10017,10017040
19SC,2024-10-14,嘉義市,西區,M,0,60~64,1,10020,10020020
19SC,2024-10-14,新北市,三重區,F,0,65~69,1,65000,65000020
19SC,2024-10-14,新北市,板橋區,M,0,55~59,1,65000,65000010
19SC,2024-10-14,台中市,西屯區,F,0,70+,1,66000,66000060
19SC,2024-10-14,桃園市,八德區,M,0,20~24,1,68000,68000080
19SC,2024-10-15,雲林縣,西螺鎮,M,0,70+,1,10009,10009040
19SC,2024-10-15,高雄市,三民區,M,0,70+,1,64000,64000050
19SC,2024-10-15,高雄市,三民區,M,0,70+,1,64000,64000051
19SC,2024-10-15,高雄市,三民區,M,0,70+,1,64000,64000052
19SC,2024-10-15,新北市,汐止區,M,0,70+,1,65000,65000110
19SC,2024-10-15,台中市,大肚區,F,0,70+,1,66000,66000240
19SC,2024-10-15,台中市,龍井區,F,0,70+,1,66000,66000250
19SC,2024-10-16,宜蘭縣,羅東鎮,M,0,70+,1,10002,10002020
19SC,2024-10-16,基隆市,仁愛區,F,0,70+,1,10017,10017040
19SC,2024-10-16,基隆市,安樂區,F,0,70+,1,10017,10017060
19SC,2024-10-17,屏東縣,里港鄉,M,0,70+,1,10013,10013090
19SC,2024-10-17,花蓮縣,鳳林鎮,M,0,70+,1,10015,10015020
19SC,2024-10-18,嘉義縣,梅山鄉,M,0,55~59,1,10010,10010150
19SC,2024-10-18,新北市,新店區,M,0,70+,1,65000,65000060
19SC,2024-10-18,台中市,梧棲區,M,0,70+,1,66000,66000140
19SC,2024-10-18,桃園市,蘆竹區,M,0,70+,1,68000,68000050
19SC,2024-10-19,屏東縣,高樹鄉,M,0,55~59,1,10013,10013110
19SC,2024-10-19,台南市,大內區,M,0,70+,1,67000,67000110
19SC,2024-10-20,屏東縣,車城鄉,F,0,55~59,1,10013,10013230
19SC,2024-10-21,彰化縣,彰化市,F,0,70+,1,10007,10007010
19SC,2024-10-21,南投縣,國姓鄉,M,0,65~69,1,10008,10008100
19SC,2024-10-21,雲林縣,虎尾鎮,F,0,70+,1,10009,10009030
19SC,2024-10-21,嘉義縣,民雄鄉,F,0,70+,1,10010,10010050
19SC,2024-10-21,新竹市,香山區,M,0,70+,1,10018,10018030
19SC,2024-10-21,新北市,三峽區,M,0,60~64,1,65000,65000090
19SC,2024-10-21,台中市,太平區,M,0,70+,1,66000,66000270
19SC,2024-10-22,新竹縣,湖口鄉,M,0,55~59,1,10004,10004050
19SC,2024-10-22,嘉義縣,太保市,F,0,60~64,1,10010,10010010
19SC,2024-10-22,新竹市,東區,F,0,65~69,1,10018,10018010
19SC,2024-10-22,嘉義市,西區,M,0,65~69,1,10020,10020020
19SC,2024-10-22,新北市,泰山區,F,0,45~49,1,65000,65000160
19SC,2024-10-23,宜蘭縣,宜蘭市,F,0,70+,1,10002,10002010
19SC,2024-10-23,台北市,中山區,M,0,70+,1,63000,63000040
19SC,2024-10-23,台南市,下營區,M,0,70+,1,67000,67000080
19SC,2024-10-23,台南市,後壁區,M,0,45~49,1,67000,67000050
19SC,2024-10-23,桃園市,平鎮區,F,0,70+,1,68000,68000100
19SC,2024-10-24,雲林縣,二崙鄉,F,0,0,1,10009,10009110
19SC,2024-10-24,新竹市,北區,M,0,70+,1,10018,10018020
19SC,2024-10-24,新北市,三峽區,M,0,70+,1,65000,65000090
19SC,2024-10-24,新北市,新莊區,M,0,45~49,1,65000,65000050
19SC,2024-10-25,宜蘭縣,冬山鄉,F,0,65~69,1,10002,10002080
19SC,2024-10-25,嘉義縣,六腳鄉,M,0,45~49,1,10010,10010080
19SC,2024-10-25,花蓮縣,花蓮市,M,0,70+,1,10015,10015010
19SC,2024-10-25,嘉義市,西區,M,0,45~49,1,10020,10020020
19SC,2024-10-25,新北市,新店區,M,0,70+,1,65000,65000060
19SC,2024-10-26,台南市,東區,F,0,70+,1,67000,67000320
19SC,2024-10-27,台北市,文山區,F,0,70+,1,63000,63000080
19SC,2024-10-27,台北市,文山區,F,0,70+,1,63000,63000081
19SC,2024-10-27,台北市,文山區,F,0,70+,1,63000,63000082
19SC,2024-10-28,花蓮縣,吉安鄉,F,0,70+,1,10015,10015050
19SC,2024-10-28,新北市,新莊區,M,0,70+,1,65000,65000050
19SC,2024-10-28,台中市,南屯區,M,0,70+,1,66000,66000070
19SC,2024-10-28,台中市,潭子區,M,0,70+,1,66000,66000170
19SC,2024-10-28,台中市,霧峰區,M,0,70+,1,66000,66000260
19SC,2024-10-29,彰化縣,二林鎮,M,0,70+,1,10007,10007200
19SC,2024-10-29,雲林縣,東勢鄉,M,0,70+,1,10009,10009140
19SC,2024-10-29,新北市,樹林區,M,0,55~59,1,65000,65000070
19SC,2024-10-30,苗栗縣,三義鄉,F,0,15~19,1,10005,10005130
19SC,2024-10-30,南投縣,鹿谷鄉,M,0,10~14,1,10008,10008070
19SC,2024-10-30,新北市,板橋區,F,0,60~64,1,65000,65000010
19SC,2024-10-31,台北市,萬華區,M,0,70+,1,63000,63000070
19SC,2024-10-31,台北市,萬華區,M,0,70+,1,63000,63000071
19SC,2024-10-31,台北市,萬華區,M,0,70+,1,63000,63000072
19SC,2024-11-01,南投縣,信義鄉,F,0,60~64,1,10008,10008120
19SC,2024-11-01,屏東縣,內埔鄉,M,0,70+,1,10013,10013130
19SC,2024-11-01,新北市,林口區,M,0,70+,1,65000,65000170
19SC,2024-11-02,宜蘭縣,三星鄉,F,0,65~69,1,10002,10002100
19SC,2024-11-02,台中市,西屯區,F,0,70+,1,66000,66000060
19SC,2024-11-04,雲林縣,虎尾鎮,M,0,70+,1,10009,10009030
19SC,2024-11-04,嘉義縣,太保市,F,0,60~64,1,10010,10010010
19SC,2024-11-04,新竹市,北區,M,0,50~54,1,10018,10018020
19SC,2024-11-04,台中市,梧棲區,M,1,60~64,1,66000,66000140
19SC,2024-11-04,台中市,西屯區,M,0,70+,1,66000,66000060
19SC,2024-11-05,彰化縣,芬園鄉,F,0,70+,1,10007,10007090
19SC,2024-11-05,嘉義縣,番路鄉,F,0,60~64,1,10010,10010160
19SC,2024-11-05,高雄市,林園區,M,0,70+,1,64000,64000130
19SC,2024-11-05,新北市,新莊區,M,0,70+,1,65000,65000050
19SC,2024-11-05,桃園市,龜山區,F,0,55~59,1,68000,68000070
19SC,2024-11-06,新竹縣,寶山鄉,M,0,70+,1,10004,10004100
19SC,2024-11-06,雲林縣,虎尾鎮,M,0,70+,1,10009,10009030
19SC,2024-11-06,嘉義縣,東石鄉,F,0,70+,1,10010,10010090
19SC,2024-11-06,屏東縣,東港鎮,F,0,70+,1,10013,10013030
19SC,2024-11-06,台北市,中正區,F,0,65~69,1,63000,63000050
19SC,2024-11-07,台東縣,台東市,M,0,70+,1,10014,10014010
19SC,2024-11-07,新竹市,香山區,M,0,60~64,1,10018,10018030
19SC,2024-11-07,新北市,中和區,M,0,70+,1,65000,65000030
19SC,2024-11-08,南投縣,魚池鄉,F,0,70+,1,10008,10008090
19SC,2024-11-08,南投縣,魚池鄉,M,0,70+,1,10008,10008090
19SC,2024-11-08,桃園市,桃園區,F,0,70+,1,68000,68000010
19SC,2024-11-11,苗栗縣,苗栗市,F,0,70+,1,10005,10005010
19SC,2024-11-11,屏東縣,屏東市,F,0,70+,1,10013,10013010
19SC,2024-11-11,台東縣,台東市,F,0,70+,1,10014,10014010
19SC,2024-11-11,台東縣,成功鎮,M,0,70+,1,10014,10014020
19SC,2024-11-11,嘉義市,西區,M,0,50~54,1,10020,10020020
19SC,2024-11-11,新北市,板橋區,M,0,70+,1,65000,65000010
19SC,2024-11-11,台中市,西區,F,0,70+,1,66000,66000040
19SC,2024-11-12,彰化縣,花壇鄉,M,0,70+,1,10007,10007080
19SC,2024-11-12,雲林縣,虎尾鎮,F,0,70+,1,10009,10009030
19SC,2024-11-12,屏東縣,屏東市,M,0,70+,1,10013,10013010
19SC,2024-11-12,台北市,北投區,M,0,70+,1,63000,63000120
19SC,2024-11-13,高雄市,三民區,F,0,45~49,1,64000,64000050
19SC,2024-11-13,高雄市,三民區,F,0,45~49,1,64000,64000051
19SC,2024-11-13,高雄市,三民區,F,0,45~49,1,64000,64000052
19SC,2024-11-14,彰化縣,社頭鄉,F,0,70+,1,10007,10007170
19SC,2024-11-14,彰化縣,花壇鄉,F,0,70+,1,10007,10007080
19SC,2024-11-14,台北市,內湖區,M,0,70+,1,63000,63000100
19SC,2024-11-14,新北市,土城區,M,0,70+,1,65000,65000130
19SC,2024-11-14,新北市,新莊區,M,0,55~59,1,65000,65000050
19SC,2024-11-14,台中市,北屯區,F,0,70+,1,66000,66000080
19SC,2024-11-14,台中市,龍井區,M,0,0,1,66000,66000250
19SC,2024-11-17,台南市,善化區,F,0,40~44,1,67000,67000190
