確定病名,死亡年份,死亡週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,死亡病例數,縣市別代碼,鄉鎮別代碼
19SC,2024,52,屏東縣,潮州鎮,M,0,65~69,1,10013,10013020
19SC,2024,52,高雄市,美濃區,M,0,70+,1,64000,64000310
19SC,2025,03,基隆市,中正區,M,0,45~49,1,10017,10017010
19SC,2025,03,桃園市,桃園區,M,0,70+,1,68000,68000010
19SC,2025,04,雲林縣,虎尾鎮,F,0,70+,1,10009,10009030
19SC,2025,04,台中市,后里區,F,0,70+,1,66000,66000150
19SC,2025,04,台中市,西區,F,0,70+,1,66000,66000040
19SC,2025,05,雲林縣,斗六市,F,0,70+,1,10009,10009010
19SC,2025,07,台北市,南港區,M,0,70+,1,63000,63000090
19SC,2025,07,台北市,萬華區,F,0,70+,1,63000,63000070
19SC,2025,07,高雄市,前鎮區,F,0,60~64,1,64000,64000090
19SC,2025,08,雲林縣,斗六市,F,0,65~69,1,10009,10009010
19SC,2025,08,新竹市,東區,F,0,70+,1,10018,10018010
19SC,2025,08,台北市,內湖區,F,0,70+,1,63000,63000100
19SC,2025,09,南投縣,竹山鎮,M,0,60~64,1,10008,10008040
19SC,2025,09,雲林縣,土庫鎮,M,0,65~69,1,10009,10009050
19SC,2025,09,台中市,霧峰區,M,0,60~64,1,66000,66000260
19SC,2025,10,屏東縣,潮州鎮,F,0,70+,1,10013,10013020
19SC,2025,11,桃園市,桃園區,M,0,60~64,1,68000,68000010
19SC,2025,13,彰化縣,福興鄉,F,0,70+,1,10007,10007060
19SC,2025,13,屏東縣,麟洛鄉,M,0,60~64,1,10013,10013070
19SC,2025,13,台南市,新市區,M,0,70+,1,67000,67000200
19SC,2025,15,南投縣,仁愛鄉,M,0,55~59,1,10008,10008130
19SC,2025,15,南投縣,名間鄉,F,0,70+,1,10008,10008060
19SC,2025,15,嘉義縣,民雄鄉,F,0,70+,1,10010,10010050
19SC,2025,15,台北市,文山區,M,0,70+,1,63000,63000080
19SC,2025,15,台中市,東區,M,0,70+,1,66000,66000020
19SC,2025,15,台南市,龍崎區,F,0,70+,1,67000,67000300
19SC,2025,16,高雄市,楠梓區,M,0,65~69,1,64000,64000040
19SC,2025,16,新北市,樹林區,M,0,60~64,1,65000,65000070
19SC,2025,16,桃園市,觀音區,M,0,70+,1,68000,68000120
19SC,2025,17,高雄市,三民區,M,0,70+,1,64000,64000050
19SC,2025,17,高雄市,大寮區,M,0,60~64,1,64000,64000140
19SC,2025,17,新北市,新莊區,M,0,65~69,1,65000,65000050
19SC,2025,17,桃園市,平鎮區,M,0,70+,1,68000,68000100
19SC,2025,18,嘉義縣,朴子市,M,0,70+,1,10010,10010020
19SC,2025,18,花蓮縣,壽豐鄉,F,0,70+,1,10015,10015060
19SC,2025,18,嘉義市,東區,M,0,70+,1,10020,10020010
19SC,2025,18,高雄市,小港區,M,0,70+,1,64000,64000110
19SC,2025,18,台南市,東山區,M,0,70+,1,67000,67000060
19SC,2025,18,台南市,永康區,F,0,70+,1,67000,67000310
19SC,2025,19,花蓮縣,花蓮市,M,0,70+,1,10015,10015010
19SC,2025,19,嘉義市,西區,M,0,70+,1,10020,10020020
19SC,2025,19,高雄市,梓官區,F,0,70+,1,64000,64000290
19SC,2025,19,台中市,大甲區,F,0,70+,1,66000,66000110
19SC,2025,19,台中市,沙鹿區,F,0,70+,1,66000,66000130
19SC,2025,19,台南市,安南區,F,0,70+,1,67000,67000350
19SC,2025,19,桃園市,中壢區,M,0,60~64,1,68000,68000020
19SC,2025,19,桃園市,中壢區,M,0,70+,1,68000,68000020
19SC,2025,19,桃園市,平鎮區,F,0,70+,1,68000,68000100
19SC,2025,20,南投縣,南投市,M,0,70+,1,10008,10008010
19SC,2025,20,台中市,太平區,M,0,55~59,1,66000,66000270
19SC,2025,20,台中市,太平區,M,0,70+,1,66000,66000270
19SC,2025,21,彰化縣,彰化市,M,0,50~54,1,10007,10007010
19SC,2025,21,彰化縣,彰化市,F,0,70+,1,10007,10007010
19SC,2025,21,彰化縣,永靖鄉,M,0,70+,1,10007,10007160
19SC,2025,21,彰化縣,田中鎮,M,0,70+,1,10007,10007120
19SC,2025,21,彰化縣,線西鄉,M,0,70+,1,10007,10007040
19SC,2025,21,南投縣,南投市,F,0,70+,1,10008,10008010
19SC,2025,21,屏東縣,萬巒鄉,M,0,60~64,1,10013,10013120
19SC,2025,21,基隆市,中山區,M,0,65~69,1,10017,10017050
19SC,2025,21,嘉義市,西區,M,0,70+,1,10020,10020020
