確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
487a,2006,14,新北市,泰山區,F,0,35~39,1,65000,65000160
487a,2006,16,台北市,中山區,M,0,2,1,63000,63000040
487a,2006,19,台北市,大安區,F,0,25~29,1,63000,63000030
487a,2006,20,桃園市,八德區,F,0,65~69,1,68000,68000080
487a,2006,47,台北市,內湖區,M,0,10~14,1,63000,63000100
487a,2006,49,彰化縣,員林市,M,0,15~19,1,10007,10007100
487a,2006,51,桃園市,觀音區,M,0,15~19,1,68000,68000120
487a,2006,52,台北市,內湖區,M,0,15~19,1,63000,63000100
487a,2006,52,台北市,大安區,F,0,10~14,1,63000,63000030
487a,2006,52,新北市,土城區,M,0,10~14,1,65000,65000130
487a,2007,1,彰化縣,社頭鄉,F,0,15~19,1,10007,10007170
487a,2007,1,台北市,萬華區,M,0,3,1,63000,63000070
487a,2007,1,台中市,沙鹿區,M,0,0,1,66000,66000130
487a,2007,1,桃園市,桃園區,M,0,5~9,1,68000,68000010
487a,2007,2,新北市,板橋區,F,0,10~14,1,65000,65000010
487a,2007,2,新北市,蘆洲區,F,0,5~9,1,65000,65000140
487a,2007,2,桃園市,桃園區,M,0,4,1,68000,68000010
487a,2007,3,桃園市,桃園區,F,0,10~14,1,68000,68000010
487a,2007,4,新竹市,香山區,M,0,5~9,1,10018,10018030
487a,2007,4,新北市,中和區,M,0,5~9,1,65000,65000030
487a,2007,4,桃園市,桃園區,M,0,45~49,1,68000,68000010
487a,2007,5,新竹縣,竹東鎮,F,0,3,1,10004,10004020
487a,2007,5,彰化縣,彰化市,M,0,2,1,10007,10007010
487a,2007,5,彰化縣,彰化市,F,0,5~9,1,10007,10007010
487a,2007,5,雲林縣,西螺鎮,F,0,4,1,10009,10009040
487a,2007,5,新竹市,香山區,F,0,3,1,10018,10018030
487a,2007,5,桃園市,中壢區,F,0,10~14,1,68000,68000020
487a,2007,5,桃園市,中壢區,M,0,3,1,68000,68000020
487a,2007,6,高雄市,鳳山區,M,0,70+,1,64000,64000120
