確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
19SC,2024,36,台中市,大里區,M,0,50~54,1,66000,66000280
19SC,2024,36,台中市,大里區,M,0,70+,1,66000,66000280
19SC,2024,36,台中市,大雅區,F,0,60~64,1,66000,66000180
19SC,2024,36,台中市,沙鹿區,M,0,70+,1,66000,66000130
19SC,2024,36,台中市,豐原區,M,0,70+,1,66000,66000090
19SC,2024,36,台南市,北區,M,0,70+,1,67000,67000340
19SC,2024,36,台南市,南區,M,0,65~69,1,67000,67000330
19SC,2024,36,台南市,南區,M,0,70+,1,67000,67000330
19SC,2024,36,台南市,安平區,M,0,70+,1,67000,67000360
19SC,2024,36,台南市,東區,M,0,70+,1,67000,67000320
19SC,2024,36,台南市,永康區,M,0,55~59,1,67000,67000310
19SC,2024,36,台南市,鹽水區,M,0,70+,1,67000,67000020
19SC,2024,36,桃園市,大溪區,M,0,70+,1,68000,68000030
19SC,2024,36,桃園市,桃園區,F,0,70+,1,68000,68000010
19SC,2024,36,桃園市,楊梅區,F,0,55~59,1,68000,68000040
19SC,2024,37,彰化縣,埔心鄉,F,0,70+,1,10007,10007150
19SC,2024,37,彰化縣,埤頭鄉,M,0,70+,1,10007,10007220
19SC,2024,37,彰化縣,田中鎮,M,0,70+,1,10007,10007120
19SC,2024,37,彰化縣,社頭鄉,M,0,55~59,1,10007,10007170
19SC,2024,37,南投縣,鹿谷鄉,M,0,70+,1,10008,10008070
19SC,2024,37,雲林縣,北港鎮,F,0,70+,1,10009,10009060
19SC,2024,37,嘉義縣,水上鄉,M,0,60~64,1,10010,10010120
19SC,2024,37,屏東縣,枋山鄉,M,0,70+,1,10013,10013250
19SC,2024,37,屏東縣,鹽埔鄉,F,0,70+,1,10013,10013100
19SC,2024,37,花蓮縣,富里鄉,F,0,70+,1,10015,10015100
19SC,2024,37,花蓮縣,花蓮市,F,0,70+,1,10015,10015010
19SC,2024,37,新竹市,東區,M,0,70+,2,10018,10018010
19SC,2024,37,嘉義市,東區,M,0,70+,1,10020,10020010
19SC,2024,37,嘉義市,西區,M,0,70+,2,10020,10020020
19SC,2024,37,台北市,大安區,M,0,70+,1,63000,63000030
19SC,2024,37,高雄市,三民區,M,0,70+,1,64000,64000050
19SC,2024,37,高雄市,三民區,M,0,70+,1,64000,64000051
19SC,2024,37,高雄市,三民區,M,0,70+,1,64000,64000052
19SC,2024,37,高雄市,小港區,M,0,70+,1,64000,64000110
19SC,2024,37,高雄市,岡山區,F,0,60~64,1,64000,64000190
19SC,2024,37,高雄市,楠梓區,F,0,50~54,1,64000,64000040
19SC,2024,37,高雄市,路竹區,M,0,70+,1,64000,64000240
19SC,2024,37,新北市,三峽區,F,1,70+,1,65000,65000090
19SC,2024,37,新北市,新莊區,M,0,65~69,1,65000,65000050
19SC,2024,37,台中市,北區,M,0,70+,1,66000,66000050
19SC,2024,37,台中市,后里區,M,0,60~64,1,66000,66000150
19SC,2024,37,台中市,大里區,F,0,70+,1,66000,66000280
19SC,2024,37,台中市,梧棲區,F,0,70+,1,66000,66000140
19SC,2024,37,台中市,烏日區,F,0,70+,1,66000,66000230
19SC,2024,37,台中市,豐原區,M,0,70+,1,66000,66000090
19SC,2024,37,台南市,新市區,F,0,70+,1,67000,67000200
19SC,2024,37,台南市,永康區,M,0,60~64,1,67000,67000310
19SC,2024,37,台南市,永康區,M,0,70+,1,67000,67000310
19SC,2024,37,桃園市,大園區,M,0,40~44,1,68000,68000060
19SC,2024,37,桃園市,大園區,M,0,70+,1,68000,68000060
19SC,2024,37,桃園市,平鎮區,M,0,70+,2,68000,68000100
19SC,2024,37,桃園市,桃園區,M,0,70+,1,68000,68000010
