確定病名,研判年份,研判週別,縣市,鄉鎮,性別,是否為境外移入,年齡層,確定病例數,縣市別代碼,鄉鎮別代碼
006,2021,45,新北市,中和區,M,0,45~49,1,65000,65000030
006,2021,45,台中市,北屯區,M,0,40~44,1,66000,66000080
006,2021,46,高雄市,前金區,M,0,35~39,1,64000,64000070
006,2021,46,新北市,新店區,F,0,65~69,1,65000,65000060
006,2021,46,台中市,大甲區,M,0,70+,1,66000,66000110
006,2021,46,台南市,白河區,M,0,40~44,1,67000,67000030
006,2021,46,桃園市,龍潭區,M,0,55~59,1,68000,68000090
006,2021,47,宜蘭縣,宜蘭市,F,1,30~34,1,10002,10002010
006,2021,47,台北市,信義區,F,0,40~44,1,63000,63000020
006,2021,47,高雄市,仁武區,M,0,50~54,1,64000,64000170
006,2021,48,苗栗縣,頭份市,F,1,20~24,1,10005,10005050
006,2021,48,台南市,東區,M,0,30~34,1,67000,67000320
006,2021,49,屏東縣,屏東市,M,0,45~49,1,10013,10013010
006,2021,49,台北市,中山區,M,0,70+,1,63000,63000040
006,2021,49,高雄市,大寮區,M,0,30~34,1,64000,64000140
006,2021,49,高雄市,鼓山區,M,0,20~24,1,64000,64000020
006,2021,49,新北市,鶯歌區,F,0,35~39,1,65000,65000080
006,2021,50,新北市,中和區,F,0,20~24,1,65000,65000030
006,2021,51,桃園市,龜山區,M,0,25~29,1,68000,68000070
006,2021,52,高雄市,鼓山區,F,1,30~34,1,64000,64000020
006,2021,52,新北市,土城區,M,1,30~34,1,65000,65000130
006,2021,52,新北市,板橋區,F,0,70+,1,65000,65000010
006,2022,1,屏東縣,屏東市,M,0,40~44,1,10013,10013010
006,2022,1,高雄市,左營區,M,0,30~34,1,64000,64000030
006,2022,1,高雄市,楠梓區,M,0,40~44,1,64000,64000040
006,2022,1,新北市,林口區,F,0,25~29,1,65000,65000170
006,2022,2,高雄市,三民區,M,0,35~39,1,64000,64000050
006,2022,2,新北市,土城區,M,0,65~69,1,65000,65000130
006,2022,3,宜蘭縣,冬山鄉,M,0,35~39,1,10002,10002080
006,2022,3,南投縣,南投市,M,1,25~29,1,10008,10008010
006,2022,3,南投縣,埔里鎮,F,1,25~29,1,10008,10008020
006,2022,3,屏東縣,新園鄉,M,0,25~29,1,10013,10013170
006,2022,3,台北市,信義區,F,0,30~34,1,63000,63000020
006,2022,3,高雄市,左營區,F,1,30~34,1,64000,64000030
