年,週,就診類別,年齡別,縣市,腹瀉健保就診人次,健保就診總人次,縣市別代碼
2016,01,門診,16~18,雲林縣,126,3372,10009
2016,01,門診,16~18,嘉義縣,60,1682,10010
2016,01,門診,16~18,屏東縣,161,3433,10013
2016,01,門診,16~18,台東縣,26,838,10014
2016,01,門診,16~18,花蓮縣,46,1453,10015
2016,01,門診,16~18,澎湖縣,19,503,10016
2016,01,門診,16~18,基隆市,107,1901,10017
2016,01,門診,16~18,新竹市,119,2326,10018
2016,01,門診,16~18,嘉義市,95,2210,10020
2016,01,門診,16~18,台北市,512,11214,63000
2016,01,門診,16~18,高雄市,653,12357,64000
2016,01,門診,16~18,新北市,1171,19091,65000
2016,01,門診,16~18,台中市,763,14410,66000
2016,01,門診,16~18,台南市,408,8059,67000
2016,01,門診,16~18,桃園市,486,9659,68000
2016,01,門診,19~24,連江縣,4,149,09007
2016,01,門診,19~24,金門縣,28,707,09020
2016,01,門診,19~24,宜蘭縣,116,3038,10002
2016,01,門診,19~24,新竹縣,168,3233,10004
2016,01,門診,19~24,苗栗縣,144,3485,10005
2016,01,門診,19~24,彰化縣,389,9356,10007
2016,01,門診,19~24,南投縣,112,2791,10008
2016,01,門診,19~24,雲林縣,209,4817,10009
2016,01,門診,19~24,嘉義縣,136,2791,10010
2016,01,門診,19~24,屏東縣,228,5931,10013
2016,01,門診,19~24,台東縣,34,1149,10014
2016,01,門診,19~24,花蓮縣,78,2724,10015
2016,01,門診,19~24,澎湖縣,28,982,10016
2016,01,門診,19~24,基隆市,168,3090,10017
2016,01,門診,19~24,新竹市,190,4740,10018
2016,01,門診,19~24,嘉義市,128,3585,10020
2016,01,門診,19~24,台北市,1053,26699,63000
2016,01,門診,19~24,高雄市,1137,25309,64000
2016,01,門診,19~24,新北市,1948,34598,65000
2016,01,門診,19~24,台中市,1401,31206,66000
2016,01,門診,19~24,台南市,763,17503,67000
2016,01,門診,19~24,桃園市,703,16547,68000
2016,01,門診,25~64,連江縣,7,704,09007
2016,01,門診,25~64,金門縣,110,7827,09020
2016,01,門診,25~64,宜蘭縣,642,38176,10002
2016,01,門診,25~64,新竹縣,1063,40084,10004
2016,01,門診,25~64,苗栗縣,896,44701,10005
2016,01,門診,25~64,彰化縣,2622,124766,10007
2016,01,門診,25~64,南投縣,848,41622,10008
