年,週,年齡別,縣市,紅眼症急診就診人次,縣市別代碼
2007,03,0~6,桃園市,6,68000
2007,03,0~6,屏東縣,1,10013
2007,03,0~6,宜蘭縣,1,10002
2007,03,0~6,新北市,2,65000
2007,03,0~6,苗栗縣,3,10005
2007,03,0~6,高雄市,7,64000
2007,03,0~6,台北市,5,63000
2007,03,0~6,台中市,3,66000
2007,03,13~18,嘉義縣,1,10010
2007,03,13~18,桃園市,2,68000
2007,03,13~18,高雄市,2,64000
2007,03,13~18,台北市,3,63000
2007,03,13~18,台中市,2,66000
2007,03,13~18,基隆市,1,10017
2007,03,19~64,嘉義縣,1,10010
2007,03,19~64,桃園市,6,68000
2007,03,19~64,屏東縣,1,10013
2007,03,19~64,彰化縣,1,10007
2007,03,19~64,宜蘭縣,4,10002
2007,03,19~64,新北市,5,65000
2007,03,19~64,新竹市,1,10018
2007,03,19~64,花蓮縣,1,10015
2007,03,19~64,苗栗縣,1,10005
2007,03,19~64,高雄市,17,64000
2007,03,19~64,台北市,16,63000
2007,03,19~64,台中市,14,66000
2007,03,19~64,台南市,1,67000
2007,03,19~64,台東縣,1,10014
2007,03,19~64,雲林縣,1,10009
2007,03,65+,桃園市,1,68000
2007,03,65+,高雄市,3,64000
2007,03,65+,台北市,1,63000
2007,03,65+,台中市,2,66000
2007,03,65+,台南市,1,67000
2007,03,7~12,嘉義縣,1,10010
2007,03,7~12,桃園市,1,68000
2007,03,7~12,新北市,4,65000
2007,03,7~12,台北市,3,63000
2007,03,7~12,台中市,3,66000
2007,03,7~12,基隆市,1,10017
2007,04,0~6,嘉義縣,2,10010
2007,04,0~6,桃園市,6,68000
2007,04,0~6,南投縣,1,10008
2007,04,0~6,彰化縣,1,10007
2007,04,0~6,宜蘭縣,1,10002
2007,04,0~6,新北市,1,65000
2007,04,0~6,高雄市,3,64000
2007,04,0~6,台北市,6,63000
2007,04,0~6,台中市,2,66000
2007,04,13~18,嘉義縣,1,10010
2007,04,13~18,桃園市,2,68000
2007,04,13~18,南投縣,1,10008
2007,04,13~18,彰化縣,1,10007
2007,04,13~18,宜蘭縣,1,10002
2007,04,13~18,高雄市,2,64000
2007,04,13~18,台中市,1,66000
2007,04,13~18,台東縣,1,10014
2007,04,19~64,嘉義縣,1,10010
2007,04,19~64,桃園市,2,68000
2007,04,19~64,彰化縣,4,10007
2007,04,19~64,宜蘭縣,1,10002
2007,04,19~64,新北市,4,65000
2007,04,19~64,花蓮縣,3,10015
2007,04,19~64,苗栗縣,1,10005
2007,04,19~64,高雄市,20,64000
2007,04,19~64,台北市,21,63000
2007,04,19~64,台中市,11,66000
2007,04,19~64,台南市,1,67000
2007,04,19~64,台東縣,1,10014
2007,04,19~64,基隆市,2,10017
2007,04,65+,桃園市,1,68000
2007,04,65+,台北市,3,63000
2007,04,7~12,高雄市,4,64000
2007,04,7~12,台北市,5,63000
2007,04,7~12,台中市,2,66000
2007,05,0~6,桃園市,6,68000
2007,05,0~6,屏東縣,1,10013
