年,週,年齡別,縣市,類流感急診就診人次,縣市別代碼
2007,03,0~6,台北市,721,63000
2007,03,0~6,台中市,495,66000
2007,03,0~6,台南市,404,67000
2007,03,0~6,台東縣,26,10014
2007,03,0~6,雲林縣,184,10009
2007,03,0~6,基隆市,62,10017
2007,03,13~18,嘉義市,18,10020
2007,03,13~18,嘉義縣,38,10010
2007,03,13~18,未填寫,5,88888
2007,03,13~18,桃園市,61,68000
2007,03,13~18,屏東縣,46,10013
2007,03,13~18,南投縣,43,10008
2007,03,13~18,彰化縣,53,10007
2007,03,13~18,宜蘭縣,28,10002
2007,03,13~18,新北市,140,65000
2007,03,13~18,新竹市,36,10018
2007,03,13~18,新竹縣,51,10004
2007,03,13~18,花蓮縣,27,10015
2007,03,13~18,苗栗縣,39,10005
2007,03,13~18,高雄市,199,64000
2007,03,13~18,台北市,126,63000
2007,03,13~18,台中市,150,66000
2007,03,13~18,台南市,130,67000
2007,03,13~18,台東縣,17,10014
2007,03,13~18,雲林縣,61,10009
2007,03,13~18,基隆市,7,10017
2007,03,19~64,嘉義市,26,10020
2007,03,19~64,嘉義縣,75,10010
2007,03,19~64,未填寫,7,88888
2007,03,19~64,桃園市,366,68000
2007,03,19~64,屏東縣,159,10013
2007,03,19~64,南投縣,108,10008
2007,03,19~64,彰化縣,131,10007
2007,03,19~64,宜蘭縣,98,10002
2007,03,19~64,新北市,601,65000
2007,03,19~64,新竹市,133,10018
2007,03,19~64,新竹縣,70,10004
2007,03,19~64,花蓮縣,67,10015
2007,03,19~64,苗栗縣,92,10005
2007,03,19~64,高雄市,623,64000
2007,03,19~64,台北市,563,63000
2007,03,19~64,台中市,606,66000
2007,03,19~64,台南市,246,67000
2007,03,19~64,台東縣,30,10014
2007,03,19~64,雲林縣,102,10009
2007,03,19~64,基隆市,39,10017
2007,03,65+,嘉義市,12,10020
2007,03,65+,嘉義縣,41,10010
2007,03,65+,未填寫,1,88888
2007,03,65+,桃園市,99,68000
2007,03,65+,屏東縣,55,10013
2007,03,65+,南投縣,50,10008
2007,03,65+,彰化縣,69,10007
2007,03,65+,宜蘭縣,45,10002
2007,03,65+,新北市,137,65000
2007,03,65+,新竹市,25,10018
2007,03,65+,新竹縣,28,10004
2007,03,65+,花蓮縣,30,10015
2007,03,65+,苗栗縣,30,10005
2007,03,65+,高雄市,195,64000
2007,03,65+,台北市,232,63000
2007,03,65+,台中市,187,66000
2007,03,65+,台南市,105,67000
2007,03,65+,台東縣,8,10014
2007,03,65+,雲林縣,23,10009
2007,03,65+,基隆市,14,10017
2007,03,7~12,嘉義市,42,10020
2007,03,7~12,嘉義縣,58,10010
2007,03,7~12,未填寫,4,88888
2007,03,7~12,桃園市,104,68000
2007,03,7~12,屏東縣,103,10013
2007,03,7~12,南投縣,65,10008
2007,03,7~12,彰化縣,118,10007
2007,03,7~12,宜蘭縣,36,10002
2007,03,7~12,新北市,145,65000
2007,03,7~12,新竹市,55,10018
2007,03,7~12,新竹縣,47,10004
2007,03,7~12,花蓮縣,39,10015
2007,03,7~12,苗栗縣,67,10005
2007,03,7~12,高雄市,293,64000
2007,03,7~12,台北市,213,63000
2007,03,7~12,台中市,229,66000
2007,03,7~12,台南市,160,67000
2007,03,7~12,台東縣,27,10014
2007,03,7~12,雲林縣,106,10009
2007,03,7~12,基隆市,16,10017
2007,04,0~6,嘉義市,108,10020
2007,04,0~6,嘉義縣,85,10010
2007,04,0~6,桃園市,347,68000
2007,04,0~6,屏東縣,112,10013
2007,04,0~6,南投縣,93,10008
2007,04,0~6,彰化縣,178,10007
2007,04,0~6,宜蘭縣,77,10002
2007,04,0~6,新北市,409,65000
2007,04,0~6,新竹市,139,10018
2007,04,0~6,新竹縣,77,10004
2007,04,0~6,花蓮縣,56,10015
2007,04,0~6,苗栗縣,72,10005
2007,04,0~6,高雄市,580,64000
2007,04,0~6,台北市,715,63000
2007,04,0~6,台中市,424,66000
2007,04,0~6,台南市,381,67000
2007,04,0~6,台東縣,65,10014
2007,04,0~6,雲林縣,159,10009
2007,04,0~6,基隆市,77,10017
2007,04,13~18,嘉義市,13,10020
2007,04,13~18,嘉義縣,19,10010
2007,04,13~18,桃園市,79,68000
2007,04,13~18,屏東縣,28,10013
2007,04,13~18,南投縣,57,10008
2007,04,13~18,彰化縣,55,10007
2007,04,13~18,宜蘭縣,26,10002
2007,04,13~18,新北市,116,65000
2007,04,13~18,新竹市,33,10018
2007,04,13~18,新竹縣,34,10004
2007,04,13~18,花蓮縣,29,10015
2007,04,13~18,苗栗縣,34,10005
2007,04,13~18,高雄市,170,64000
2007,04,13~18,台北市,159,63000
2007,04,13~18,台中市,110,66000
2007,04,13~18,台南市,109,67000
2007,04,13~18,台東縣,17,10014
2007,04,13~18,雲林縣,66,10009
2007,04,13~18,基隆市,11,10017
2007,04,19~64,嘉義市,32,10020
2007,04,19~64,嘉義縣,55,10010
2007,04,19~64,桃園市,350,68000
2007,04,19~64,屏東縣,115,10013
2007,04,19~64,南投縣,91,10008
2007,04,19~64,彰化縣,138,10007
2007,04,19~64,宜蘭縣,117,10002
2007,04,19~64,新北市,564,65000
2007,04,19~64,新竹市,160,10018
2007,04,19~64,新竹縣,89,10004
2007,04,19~64,花蓮縣,79,10015
2007,04,19~64,苗栗縣,90,10005
2007,04,19~64,高雄市,547,64000
2007,04,19~64,台北市,697,63000
2007,04,19~64,台中市,573,66000
2007,04,19~64,台南市,205,67000
2007,04,19~64,台東縣,55,10014
2007,04,19~64,雲林縣,103,10009
2007,04,19~64,基隆市,35,10017
2007,04,65+,嘉義市,11,10020
2007,04,65+,嘉義縣,19,10010
2007,04,65+,桃園市,127,68000
2007,04,65+,屏東縣,44,10013
2007,04,65+,南投縣,45,10008
2007,04,65+,彰化縣,57,10007
2007,04,65+,宜蘭縣,43,10002
2007,04,65+,新北市,98,65000
2007,04,65+,新竹市,28,10018
2007,04,65+,新竹縣,26,10004
2007,04,65+,花蓮縣,37,10015
2007,04,65+,苗栗縣,41,10005
2007,04,65+,高雄市,165,64000
2007,04,65+,台北市,213,63000
2007,04,65+,台中市,177,66000
2007,04,65+,台南市,104,67000
2007,04,65+,台東縣,16,10014
2007,04,65+,雲林縣,33,10009
2007,04,65+,基隆市,12,10017
2007,04,7~12,嘉義市,53,10020
2007,04,7~12,嘉義縣,36,10010
2007,04,7~12,桃園市,90,68000
2007,04,7~12,屏東縣,65,10013
2007,04,7~12,南投縣,66,10008
2007,04,7~12,彰化縣,63,10007
2007,04,7~12,宜蘭縣,36,10002
2007,04,7~12,新北市,146,65000
2007,04,7~12,新竹市,48,10018
2007,04,7~12,新竹縣,46,10004
2007,04,7~12,花蓮縣,39,10015
2007,04,7~12,苗栗縣,40,10005
2007,04,7~12,高雄市,300,64000
2007,04,7~12,台北市,206,63000
2007,04,7~12,台中市,168,66000
2007,04,7~12,台南市,155,67000
2007,04,7~12,台東縣,28,10014
2007,04,7~12,雲林縣,123,10009
2007,04,7~12,基隆市,21,10017
2007,05,0~6,嘉義市,43,10020
2007,05,0~6,嘉義縣,26,10010
2007,05,0~6,桃園市,342,68000
2007,05,0~6,屏東縣,119,10013
2007,05,0~6,南投縣,82,10008
2007,05,0~6,彰化縣,153,10007
2007,05,0~6,宜蘭縣,72,10002
2007,05,0~6,新北市,388,65000
2007,05,0~6,新竹市,206,10018
2007,05,0~6,新竹縣,77,10004
2007,05,0~6,花蓮縣,51,10015
2007,05,0~6,苗栗縣,58,10005
2007,05,0~6,高雄市,537,64000
2007,05,0~6,台北市,693,63000
2007,05,0~6,台中市,451,66000
2007,05,0~6,台南市,339,67000
2007,05,0~6,台東縣,54,10014
2007,05,0~6,雲林縣,129,10009
2007,05,0~6,基隆市,68,10017
2007,05,13~18,嘉義市,8,10020
2007,05,13~18,嘉義縣,10,10010
2007,05,13~18,桃園市,55,68000
2007,05,13~18,屏東縣,39,10013
2007,05,13~18,南投縣,29,10008
2007,05,13~18,彰化縣,31,10007
2007,05,13~18,宜蘭縣,16,10002
2007,05,13~18,新北市,99,65000
2007,05,13~18,新竹市,35,10018
2007,05,13~18,新竹縣,26,10004
2007,05,13~18,花蓮縣,16,10015
2007,05,13~18,苗栗縣,43,10005
2007,05,13~18,高雄市,139,64000
2007,05,13~18,台北市,93,63000
2007,05,13~18,台中市,107,66000
2007,05,13~18,台南市,74,67000
2007,05,13~18,台東縣,17,10014
2007,05,13~18,雲林縣,26,10009
2007,05,13~18,基隆市,8,10017
2007,05,19~64,嘉義市,29,10020
2007,05,19~64,嘉義縣,44,10010
2007,05,19~64,桃園市,334,68000
2007,05,19~64,屏東縣,139,10013
2007,05,19~64,南投縣,112,10008
2007,05,19~64,彰化縣,114,10007
2007,05,19~64,宜蘭縣,92,10002
2007,05,19~64,新北市,533,65000
2007,05,19~64,新竹市,196,10018
2007,05,19~64,新竹縣,91,10004
2007,05,19~64,花蓮縣,60,10015
2007,05,19~64,苗栗縣,80,10005
2007,05,19~64,高雄市,656,64000
